id_accueil,id_etudiant,id_staff,date_accueil,heure_debut,heure_fin,initie_par,motif,duree_accueil_min
14001,1688,617,2024-01-02,10:00,10:15,Staff,Attestation,15
14002,1891,604,2022-10-23,09:00,09:15,Étudiant,Bourse,15
14003,1533,605,2023-07-20,15:00,15:15,Étudiant,Information,15
14004,2129,605,2021-09-12,08:00,08:15,Staff,Bourse,15
14005,1272,621,2022-10-20,15:00,15:15,Étudiant,Attestation,15
14006,1665,628,2021-12-15,09:00,09:15,Étudiant,Bourse,15
14007,1818,616,2021-11-28,10:00,10:15,Étudiant,Réclamation,15
14008,1929,604,2021-10-05,16:00,16:15,Staff,Autre,15
14009,1477,604,2023-10-03,09:00,09:15,Étudiant,Attestation,15
14010,1605,623,2023-07-29,11:00,11:15,Étudiant,Autre,15
14011,1850,606,2022-11-25,10:00,10:15,Étudiant,Autre,15
14012,1396,622,2024-04-01,10:00,10:15,Étudiant,Attestation,15
14013,2112,630,2024-07-09,10:00,10:15,Étudiant,Bourse,15
14014,1590,619,2022-12-31,11:00,11:15,Étudiant,Bourse,15
14015,1308,627,2022-04-15,10:00,10:15,Étudiant,Autre,15
14016,1746,617,2023-12-29,10:00,10:15,Staff,Information,15
14017,1787,607,2022-01-08,11:00,11:15,Étudiant,Autre,15
14018,1097,607,2022-11-03,15:00,15:15,Étudiant,Bourse,15
14019,1889,625,2022-07-27,08:00,08:15,Staff,Autre,15
14020,1956,601,2024-07-18,08:00,08:15,Staff,Attestation,15
14021,1172,627,2024-07-15,09:00,09:15,Staff,Réclamation,15
14022,1539,626,2023-07-21,11:00,11:15,Étudiant,Attestation,15
14023,1754,604,2022-06-02,16:00,16:15,Étudiant,Bourse,15
14024,2119,607,2022-04-01,14:00,14:15,Étudiant,Bourse,15
14025,1160,616,2023-04-18,08:00,08:15,Étudiant,Autre,15
14026,1623,609,2022-01-27,14:00,14:15,Étudiant,Réclamation,15
14027,1970,629,2025-03-13,10:00,10:15,Étudiant,Information,15
14028,1772,605,2023-11-05,14:00,14:15,Étudiant,Réclamation,15
14029,1925,627,2022-10-18,11:00,11:15,Staff,Attestation,15
14030,1252,624,2022-03-29,11:00,11:15,Staff,Bourse,15
14031,1625,612,2021-11-28,09:00,09:15,Staff,Information,15
14032,1911,611,2023-03-04,08:00,08:15,Étudiant,Information,15
14033,1354,607,2023-08-07,16:00,16:15,Staff,Attestation,15
14034,1379,610,2021-12-06,09:00,09:15,Staff,Bourse,15
14035,1922,603,2022-05-23,09:00,09:15,Étudiant,Information,15
14036,1467,607,2023-10-29,10:00,10:15,Étudiant,Bourse,15
14037,1925,621,2023-08-30,08:00,08:15,Étudiant,Bourse,15
14038,1141,611,2022-01-13,08:00,08:15,Staff,Bourse,15
14039,1906,625,2025-02-08,09:00,09:15,Étudiant,Attestation,15
14040,2185,607,2025-02-12,15:00,15:15,Étudiant,Attestation,15
14041,1965,614,2024-01-12,16:00,16:15,Étudiant,Réclamation,15
14042,1239,624,2022-05-16,08:00,08:15,Étudiant,Attestation,15
14043,1503,603,2024-06-18,16:00,16:15,Étudiant,Attestation,15
14044,1235,601,2022-02-07,08:00,08:15,Étudiant,Réclamation,15
14045,1099,627,2023-11-13,08:00,08:15,Staff,Réclamation,15
14046,1096,610,2022-09-16,15:00,15:15,Étudiant,Autre,15
14047,1793,629,2023-07-30,16:00,16:15,Staff,Information,15
14048,1821,623,2024-08-31,16:00,16:15,Étudiant,Réclamation,15
14049,1411,618,2022-03-02,08:00,08:15,Étudiant,Autre,15
14050,1968,622,2023-09-04,09:00,09:15,Staff,Bourse,15
14051,2085,608,2022-06-05,11:00,11:15,Étudiant,Autre,15
14052,1017,606,2022-09-10,15:00,15:15,Staff,Réclamation,15
14053,1630,609,2022-11-14,09:00,09:15,Staff,Autre,15
14054,1046,616,2024-09-18,14:00,14:15,Staff,Information,15
14055,1893,612,2025-01-08,16:00,16:15,Staff,Information,15
14056,1817,611,2024-04-26,16:00,16:15,Étudiant,Réclamation,15
14057,1722,620,2022-11-11,14:00,14:15,Staff,Bourse,15
14058,1205,609,2024-10-09,14:00,14:15,Staff,Information,15
14059,1150,606,2022-12-28,16:00,16:15,Staff,Réclamation,15
14060,1485,609,2023-08-03,15:00,15:15,Staff,Information,15
14061,1135,603,2023-02-18,14:00,14:15,Staff,Information,15
14062,2044,609,2021-11-09,15:00,15:15,Étudiant,Information,15
14063,1247,618,2024-09-19,15:00,15:15,Étudiant,Bourse,15
14064,1438,621,2022-06-24,09:00,09:15,Étudiant,Réclamation,15
14065,2174,626,2023-03-10,15:00,15:15,Staff,Réclamation,15
14066,1619,618,2023-03-25,11:00,11:15,Étudiant,Réclamation,15
14067,1810,625,2024-08-11,10:00,10:15,Étudiant,Autre,15
14068,1673,603,2023-05-29,10:00,10:15,Étudiant,Réclamation,15
14069,1754,615,2022-08-29,08:00,08:15,Étudiant,Bourse,15
14070,1191,609,2025-02-23,15:00,15:15,Staff,Bourse,15
14071,1114,616,2023-10-18,15:00,15:15,Étudiant,Attestation,15
14072,2187,603,2022-11-24,09:00,09:15,Étudiant,Réclamation,15
14073,1266,615,2022-12-24,14:00,14:15,Staff,Information,15
14074,1813,604,2023-03-31,15:00,15:15,Staff,Bourse,15
14075,1721,611,2022-11-08,15:00,15:15,Étudiant,Réclamation,15
14076,1302,629,2023-09-22,15:00,15:15,Étudiant,Réclamation,15
14077,1229,627,2024-11-13,16:00,16:15,Étudiant,Bourse,15
14078,1022,627,2024-02-22,09:00,09:15,Étudiant,Information,15
