id_aide,id_etudiant,type_aide,date_demande,date_traitement,statut,montant_mad
18001,1006,Soutien scolaire,2024-01-10,2024-01-30,Accordée,2385
18002,1916,Soutien scolaire,2021-09-16,2021-09-28,Accordée,1799
18003,1008,Soutien scolaire,2022-05-19,2022-05-23,En cours,2722
18004,1474,Aide logement,2022-03-30,2022-04-06,En cours,3740
18005,1181,Aide alimentaire,2023-01-19,2023-02-08,Accordée,3293
18006,1648,Bourse urgence,2024-06-21,2024-06-26,Accordée,2786
18007,1006,Aide logement,2024-01-29,2024-02-09,Accordée,1073
18008,1208,Aide alimentaire,2022-02-02,2022-02-17,En cours,4608
18009,1922,Aide logement,2023-08-25,2023-09-13,Accordée,4864
18010,1810,Soutien scolaire,2023-03-30,2023-04-17,Accordée,1875
18011,1701,Bourse urgence,2023-06-29,2023-07-13,Refusée,2531
18012,2165,Aide logement,2022-01-08,2022-01-18,Accordée,1645
18013,1567,Aide alimentaire,2023-07-21,2023-08-03,Accordée,3495
18014,1747,Bourse urgence,2024-09-02,2024-09-07,Accordée,2122
18015,1544,Soutien scolaire,2024-11-13,2024-11-27,Accordée,4374
18016,1607,Soutien scolaire,2021-09-18,2021-10-02,Accordée,1470
18017,1699,Aide logement,2022-08-17,2022-08-24,Accordée,4923
18018,2151,Bourse urgence,2024-06-23,2024-07-03,Refusée,3677
18019,1006,Aide alimentaire,2024-01-11,2024-01-29,Refusée,3413
18020,2149,Bourse urgence,2023-04-16,2023-04-29,Refusée,2552
18021,2136,Soutien scolaire,2024-01-17,2024-01-26,Accordée,4677
18022,1334,Bourse urgence,2023-08-07,2023-08-13,Accordée,2839
18023,1931,Soutien scolaire,2025-01-22,2025-01-27,Accordée,883
18024,1916,Soutien scolaire,2025-01-09,2025-01-18,Accordée,4963
18025,2062,Soutien scolaire,2022-08-01,2022-08-17,Accordée,4420
18026,1705,Aide alimentaire,2025-04-12,2025-04-26,En cours,4964
18027,1157,Aide logement,2024-10-13,2024-10-30,En cours,3286
18028,1908,Aide alimentaire,2022-04-07,2022-04-12,Refusée,1695
18029,2141,Aide alimentaire,2023-11-29,2023-12-09,Accordée,3005
18030,1707,Bourse urgence,2023-09-02,2023-09-16,Accordée,958
18031,1502,Aide logement,2024-12-10,2024-12-25,Accordée,2404
18032,1101,Bourse urgence,2022-12-28,2023-01-08,Refusée,2943
18033,2083,Bourse urgence,2021-09-09,2021-09-17,Accordée,3789
18034,2010,Aide logement,2022-05-21,2022-06-06,Refusée,563
18035,1250,Bourse urgence,2022-02-12,2022-02-26,En cours,2458
18036,1483,Bourse urgence,2023-12-30,2024-01-04,Accordée,619
18037,1548,Aide logement,2024-07-10,2024-07-23,Accordée,2553
18038,1394,Aide alimentaire,2025-01-26,2025-02-14,Accordée,956
18039,1513,Bourse urgence,2022-07-01,2022-07-07,Refusée,4085
18040,1832,Soutien scolaire,2024-06-02,2024-06-17,Refusée,1744
18041,1884,Bourse urgence,2023-02-24,2023-03-09,Accordée,3267
18042,1234,Aide logement,2021-10-26,2021-11-08,Refusée,1258
18043,1908,Bourse urgence,2024-11-19,2024-12-06,Accordée,3486
18044,1561,Aide alimentaire,2021-09-17,2021-09-23,Accordée,4682
18045,1389,Soutien scolaire,2022-01-21,2022-02-03,En cours,532
18046,1392,Bourse urgence,2024-10-30,2024-11-02,Accordée,3803
18047,1987,Aide alimentaire,2022-04-03,2022-04-16,Refusée,3661
18048,2003,Bourse urgence,2025-02-18,2025-03-08,Accordée,2648
18049,1233,Soutien scolaire,2022-07-18,2022-08-02,Accordée,4898
18050,1162,Soutien scolaire,2021-12-30,2022-01-07,Accordée,1942
18051,1402,Aide logement,2023-08-02,2023-08-16,Accordée,1712
18052,1969,Aide alimentaire,2025-02-05,2025-02-25,Accordée,4562
18053,2028,Aide alimentaire,2021-11-03,2021-11-21,En cours,1197
18054,1713,Soutien scolaire,2024-11-22,2024-11-28,Accordée,2263
18055,2152,Aide alimentaire,2024-08-31,2024-09-18,Accordée,3514
18056,1217,Aide logement,2021-10-06,2021-10-26,Refusée,4669
18057,1347,Soutien scolaire,2021-12-04,2021-12-07,En cours,3875
18058,1814,Aide logement,2023-01-03,2023-01-18,En cours,2086
18059,1816,Bourse urgence,2024-05-03,2024-05-07,Refusée,2120
18060,2022,Aide alimentaire,2022-06-14,2022-06-23,En cours,3574
18061,1707,Aide logement,2024-06-18,2024-06-27,En cours,4563
18062,1968,Soutien scolaire,2023-05-20,2023-06-09,Accordée,4803
