id_budget,departement,annee,budget_prevu,budget_execute,type_depense,taux_execution
12001,Informatique,2021,270716,225065,Salaires,0.8313694055763236
12002,Informatique,2021,565928,498051,Équipement,0.8800607144371723
12003,Informatique,2021,790382,772261,Fonctionnement,0.977073111482802
12004,Informatique,2022,722111,664736,Salaires,0.9205454563079637
12005,Informatique,2022,442956,316913,Équipement,0.715450293031362
12006,Informatique,2022,460777,390716,Fonctionnement,0.8479503100198144
12007,Informatique,2023,403139,411725,Salaires,1.021297865004378
12008,Informatique,2023,448196,467403,Équipement,1.042854019223733
12009,Informatique,2023,463680,422492,Fonctionnement,0.9111714975845411
12010,Informatique,2024,338490,253189,Salaires,0.747995509468522
12011,Informatique,2024,570865,552698,Équipement,0.9681763639389348
12012,Informatique,2024,679325,621314,Fonctionnement,0.9146049387259412
12013,Génie Civil,2021,224720,207754,Salaires,0.924501601993592
12014,Génie Civil,2021,759290,763903,Équipement,1.006075412556467
12015,Génie Civil,2021,542397,419268,Fonctionnement,0.7729910010564218
12016,Génie Civil,2022,426843,302016,Salaires,0.7075575797190068
12017,Génie Civil,2022,670785,686823,Équipement,1.023909300297413
12018,Génie Civil,2022,612731,514067,Fonctionnement,0.8389766471746982
12019,Génie Civil,2023,266981,221568,Salaires,0.8299017533082879
12020,Génie Civil,2023,463028,428178,Équipement,0.9247345732871446
12021,Génie Civil,2023,796714,832163,Fonctionnement,1.044494009142553
12022,Génie Civil,2024,720450,716044,Salaires,0.9938843778194184
12023,Génie Civil,2024,644016,645792,Équipement,1.002757695460982
12024,Génie Civil,2024,521036,446683,Fonctionnement,0.857297768292402
12025,Electrotechnique,2021,514690,481793,Salaires,0.9360838563018516
12026,Electrotechnique,2021,471269,406968,Équipement,0.8635577557615715
12027,Electrotechnique,2021,529907,430645,Fonctionnement,0.8126803382480322
12028,Electrotechnique,2022,728187,515171,Salaires,0.7074707458386376
12029,Electrotechnique,2022,370939,312011,Équipement,0.8411383003674459
12030,Electrotechnique,2022,269747,202662,Fonctionnement,0.7513039996737684
12031,Electrotechnique,2023,350803,296367,Salaires,0.8448245881591663
12032,Electrotechnique,2023,381487,317490,Équipement,0.8322433005580793
12033,Electrotechnique,2023,460462,357954,Fonctionnement,0.7773801095421555
12034,Electrotechnique,2024,431285,415618,Salaires,0.963673672861333
12035,Electrotechnique,2024,434447,452421,Équipement,1.041372135151123
12036,Electrotechnique,2024,531132,512208,Fonctionnement,0.9643704389869185
12037,Economie,2021,325312,298199,Salaires,0.9166553954357662
12038,Economie,2021,677768,666801,Équipement,0.9838189468962831
12039,Economie,2021,730726,565422,Fonctionnement,0.7737811436845001
12040,Economie,2022,234871,187769,Salaires,0.7994558715209625
12041,Economie,2022,653249,479415,Équipement,0.7338932015204004
12042,Economie,2022,338545,307420,Fonctionnement,0.9080624436928622
12043,Economie,2023,783103,704602,Salaires,0.8997564815867134
12044,Economie,2023,689040,700274,Équipement,1.016303843027981
12045,Economie,2023,381344,338629,Fonctionnement,0.8879882730552991
12046,Economie,2024,537689,511212,Salaires,0.9507577800550132
12047,Economie,2024,328946,313506,Équipement,0.9530622047387717
12048,Economie,2024,749269,548751,Fonctionnement,0.7323818281551753
12049,Management,2021,339049,277106,Salaires,0.8173036935664166
12050,Management,2021,468414,442914,Équipement,0.9455609781091087
12051,Management,2021,687112,660070,Fonctionnement,0.9606439707063769
12052,Management,2022,644095,592845,Salaires,0.9204309923225611
12053,Management,2022,624992,513406,Équipement,0.821460114689468
12054,Management,2022,204104,155640,Fonctionnement,0.7625524242543017
12055,Management,2023,277903,275545,Salaires,0.991515025026718
12056,Management,2023,572606,524897,Équipement,0.9166809289459069
12057,Management,2023,732797,530380,Fonctionnement,0.7237747971129794
12058,Management,2024,325478,229485,Salaires,0.7050706960224654
12059,Management,2024,371484,374897,Équipement,1.00918747509987
12060,Management,2024,729403,692724,Fonctionnement,0.949713669946518
12061,Juridique,2021,597237,603878,Salaires,1.011119538809551
12062,Juridique,2021,229616,218924,Équipement,0.9534353006759111
12063,Juridique,2021,483501,388660,Fonctionnement,0.8038452867729332
12064,Juridique,2022,583107,596997,Salaires,1.023820670991773
12065,Juridique,2022,248498,193592,Équipement,0.7790485235293644
12066,Juridique,2022,293249,219079,Fonctionnement,0.7470750113384871
12067,Juridique,2023,723839,610935,Salaires,0.8440205625836684
12068,Juridique,2023,453520,367011,Équipement,0.8092498677015346
12069,Juridique,2023,343725,341683,Fonctionnement,0.9940592043057677
12070,Juridique,2024,663889,595069,Salaires,0.8963380926630807
12071,Juridique,2024,252532,225280,Équipement,0.8920849634897755
12072,Juridique,2024,612625,581988,Fonctionnement,0.9499906141603754
