id_charge,id_etudiant,semaine,heures_cours,heures_devoirs,heures_projets,heures_temps_mort,charge_totale
15001,1512,2023-S01,23.3,3.9,1.0,1.5,29.7
15002,1512,2023-S02,24.5,8.5,3.9,3.1,40.0
15003,1512,2023-S03,16.9,3.1,2.3,4.7,27.0
15004,1512,2023-S04,16.1,9.6,4.9,1.9,32.5
15005,1512,2023-S05,22.2,6.0,4.2,2.5,34.9
15006,1512,2023-S06,11.4,2.8,4.6,3.1,21.9
15007,1512,2023-S07,16.4,4.1,2.0,4.7,27.2
15008,1512,2023-S08,23.7,8.0,1.5,4.8,38.0
15009,1512,2023-S09,21.6,4.7,1.9,2.8,31.0
15010,1512,2023-S10,20.4,5.2,2.3,2.7,30.6
15011,1512,2023-S11,23.0,5.5,5.3,2.5,36.3
15012,1512,2023-S12,13.8,4.3,4.2,4.3,26.6
15013,1512,2023-S13,18.7,7.2,2.1,2.8,30.8
15014,1512,2023-S14,18.7,5.6,3.1,2.5,29.9
15015,1512,2023-S15,17.4,2.6,5.1,3.8,28.9
15016,1512,2023-S16,14.5,6.4,5.3,2.7,28.9
15017,1512,2023-S17,23.4,2.6,2.8,4.3,33.1
15018,1512,2023-S18,23.4,8.5,1.7,3.7,37.3
15019,1512,2023-S19,24.4,9.8,4.5,3.5,42.2
15020,1512,2023-S20,13.7,9.9,3.6,2.0,29.2
15021,1512,2023-S21,18.9,7.6,1.2,4.1,31.8
15022,1512,2023-S22,17.5,6.6,3.2,3.9,31.2
15023,1512,2023-S23,12.7,2.1,5.0,1.3,21.1
15024,1512,2023-S24,23.8,2.6,5.7,1.1,33.2
15025,1512,2023-S25,19.6,3.8,3.0,3.1,29.5
15026,1512,2023-S26,22.9,4.3,4.0,3.4,34.6
15027,1512,2023-S27,17.4,3.6,3.4,2.1,26.5
15028,1512,2023-S28,17.4,3.4,2.4,2.8,26.0
15029,1512,2023-S29,24.3,6.6,2.7,4.4,38.0
15030,1512,2023-S30,14.1,8.1,3.2,2.0,27.4
15031,1512,2023-S31,12.4,5.7,3.0,2.0,23.1
15032,1512,2023-S32,23.8,3.4,3.7,2.9,33.8
15033,1512,2023-S33,11.7,2.7,5.9,3.4,23.7
15034,1512,2023-S34,22.6,4.3,2.5,3.6,33.0
15035,1043,2023-S01,18.4,6.7,2.1,4.3,31.5
15036,1043,2023-S02,14.1,2.3,1.1,1.7,19.2
15037,1043,2023-S03,20.2,9.6,5.8,4.8,40.4
15038,1043,2023-S04,20.9,4.2,5.9,4.8,35.8
15039,1043,2023-S05,12.5,2.3,2.2,4.8,21.8
15040,1043,2023-S06,15.7,2.3,1.2,4.2,23.4
15041,1043,2023-S07,12.7,3.1,4.1,3.4,23.3
15042,1043,2023-S08,19.6,5.1,3.4,2.3,30.4
15043,1043,2023-S09,11.9,7.0,3.8,1.9,24.6
15044,1043,2023-S10,11.5,5.8,5.9,3.4,26.6
15045,1043,2023-S11,10.8,6.0,2.5,1.5,20.8
15046,1043,2023-S12,21.4,8.1,2.5,1.7,33.7
15047,1043,2023-S13,16.3,4.4,5.6,4.1,30.4
15048,1043,2023-S14,11.0,6.2,1.0,1.9,20.1
15049,1043,2023-S15,14.0,5.6,4.5,2.7,26.8
15050,1043,2023-S16,21.3,6.8,3.7,2.1,33.9
15051,1043,2023-S17,13.6,2.6,4.8,2.6,23.6
15052,1043,2023-S18,17.5,2.0,4.4,1.7,25.6
15053,1043,2023-S19,18.4,2.3,1.6,2.6,24.9
15054,1043,2023-S20,16.0,4.5,2.7,2.6,25.8
15055,1043,2023-S21,19.2,9.8,6.0,3.5,38.5
15056,1043,2023-S22,21.3,5.8,5.9,4.3,37.3
15057,1043,2023-S23,10.9,9.9,1.4,2.5,24.7
15058,1043,2023-S24,10.4,6.7,2.2,2.8,22.1
15059,1043,2023-S25,11.7,2.7,5.8,4.8,25.0
15060,1043,2023-S26,10.4,8.7,4.7,2.0,25.8
15061,1043,2023-S27,24.4,6.2,4.0,1.5,36.1
15062,1043,2023-S28,18.1,8.7,1.8,1.5,30.1
15063,1043,2023-S29,12.3,3.9,4.4,3.9,24.5
15064,1043,2023-S30,11.2,6.4,3.5,4.6,25.7
15065,1043,2023-S31,21.9,2.4,3.5,1.9,29.7
15066,1043,2023-S32,12.2,3.3,5.5,3.5,24.5
15067,1043,2023-S33,13.2,9.7,4.3,2.5,29.7
15068,1043,2023-S34,24.4,7.0,2.1,2.5,36.0
15069,1969,2023-S01,24.5,6.7,2.4,1.6,35.2
15070,1969,2023-S02,22.3,3.4,1.7,4.6,32.0
15071,1969,2023-S03,14.3,5.8,3.5,2.0,25.6
15072,1969,2023-S04,13.7,4.4,2.2,3.5,23.8
15073,1969,2023-S05,10.7,9.1,4.4,1.9,26.1
15074,1969,2023-S06,12.0,7.3,2.7,1.4,23.4
15075,1969,2023-S07,19.8,9.4,5.7,3.1,38.0
15076,1969,2023-S08,14.6,4.2,5.5,4.3,28.6
15077,1969,2023-S09,13.3,7.0,5.0,4.2,29.5
15078,1969,2023-S10,20.4,7.8,3.6,1.3,33.1
15079,1969,2023-S11,21.2,7.7,5.7,2.2,36.8
15080,1969,2023-S12,23.7,7.3,2.4,4.2,37.6
15081,1969,2023-S13,12.6,5.5,2.1,4.2,24.4
15082,1969,2023-S14,17.4,3.3,3.6,3.0,27.3
15083,1969,2023-S15,12.2,8.1,2.1,3.0,25.4
15084,1969,2023-S16,13.9,6.4,5.1,4.3,29.7
15085,1969,2023-S17,19.1,6.9,3.0,2.8,31.8
15086,1969,2023-S18,15.5,2.7,5.7,2.4,26.3
15087,1969,2023-S19,21.6,6.8,2.4,3.9,34.7
15088,1969,2023-S20,12.1,10.0,5.5,2.9,30.5
15089,1969,2023-S21,13.3,3.2,3.8,1.7,22.0
15090,1969,2023-S22,13.5,9.8,2.3,1.9,27.5
15091,1969,2023-S23,17.3,4.8,5.9,2.8,30.8
15092,1969,2023-S24,19.5,8.6,2.1,3.2,33.4
15093,1969,2023-S25,11.4,9.8,2.0,4.6,27.8
15094,1969,2023-S26,11.6,9.3,2.9,1.9,25.7
15095,1969,2023-S27,12.2,9.3,2.3,4.8,28.6
15096,1969,2023-S28,20.4,6.9,3.2,2.4,32.9
15097,1969,2023-S29,16.6,4.8,1.5,4.5,27.4
15098,1969,2023-S30,11.4,7.0,1.4,3.2,23.0
15099,1969,2023-S31,23.6,8.3,2.1,2.5,36.5
15100,1969,2023-S32,12.5,7.1,5.0,2.3,26.9
15101,1969,2023-S33,11.8,4.7,3.8,1.5,21.8
15102,1969,2023-S34,21.6,7.7,2.2,2.0,33.5
15103,1424,2023-S01,11.2,3.9,2.0,3.6,20.7
15104,1424,2023-S02,10.4,7.3,4.3,1.5,23.5
15105,1424,2023-S03,11.2,9.5,2.1,4.3,27.1
15106,1424,2023-S04,25.0,8.8,4.2,4.1,42.1
