id_club,nom_club,type,date_creation
16001,Club Robotique,Technique,2012-04-03
16002,Club Théâtre,Culturel,2019-05-02
16003,Club Football,Sportif,2020-07-16
16004,Club Droit,Technique,2021-08-29
16005,Club IA,Technique,2013-11-18
16006,Club Photo,Culturel,2021-04-08
16007,Club Débat,Culturel,2011-12-21
16008,Club Tennis,Sportif,2014-04-24
16009,Club Musique,Culturel,2015-09-29
16010,Club Entrepreneuriat,Social,2020-09-17
16011,Club Informatique,Technique,2015-06-20
16012,Club Arts,Culturel,2021-09-11
16013,Club Natation,Sportif,2017-10-21
16014,Club Volontariat,Social,2013-01-17
16015,Club Sciences,Technique,2021-11-02
