id_demande,id_etudiant,id_staff,type_demande,date_soumission,date_resolution,resolu_premier_contact,satisfaction_service,delai_jours
11001,2105,625,Bourse,2025-02-01,2025-02-06,Non,2,5
11002,1886,607,Attestation,2022-06-16,2022-06-23,Oui,3,7
11003,1435,601,Autre,2023-05-13,2023-05-28,Oui,5,15
11004,1638,623,Autre,2021-10-31,2021-11-04,Oui,1,4
11005,1729,627,Équivalence,2023-01-19,2023-01-21,Oui,3,2
11006,1777,614,Équivalence,2022-10-07,2022-10-21,Oui,1,14
11007,1627,614,Relevé de notes,2022-10-30,2022-11-06,Oui,3,7
11008,1618,611,Relevé de notes,2022-02-18,2022-03-02,Non,2,12
11009,1278,607,Relevé de notes,2024-07-21,2024-08-03,Non,3,13
11010,1633,617,Bourse,2022-11-18,2022-12-02,Non,2,14
11011,2164,607,Bourse,2025-01-02,2025-01-10,Non,5,8
11012,1898,615,Bourse,2023-12-12,2023-12-18,Non,5,6
11013,1454,612,Relevé de notes,2023-01-05,2023-01-16,Oui,1,11
11014,1001,622,Équivalence,2025-01-27,2025-02-04,Oui,3,8
11015,1591,603,Relevé de notes,2021-09-14,2021-09-21,Oui,2,7
11016,1663,609,Attestation,2025-04-05,2025-04-07,Non,2,2
11017,1943,617,Relevé de notes,2023-05-25,2023-05-30,Non,1,5
11018,1685,601,Attestation,2024-03-15,2024-03-30,Non,4,15
11019,2019,621,Attestation,2022-10-09,2022-10-12,Non,2,3
11020,2170,604,Bourse,2025-04-25,2025-04-30,Non,1,5
11021,1710,605,Équivalence,2021-10-04,2021-10-15,Non,5,11
11022,1412,627,Équivalence,2025-03-11,2025-03-18,Non,3,7
11023,1313,624,Attestation,2022-08-09,2022-08-17,Non,2,8
11024,1642,610,Relevé de notes,2023-12-11,2023-12-16,Non,4,5
11025,2044,621,Équivalence,2024-05-24,2024-05-31,Oui,5,7
11026,1627,613,Équivalence,2024-02-05,2024-02-13,Oui,2,8
11027,2053,614,Relevé de notes,2023-11-01,2023-11-11,Oui,1,10
11028,1477,607,Relevé de notes,2022-03-02,2022-03-14,Non,2,12
11029,2149,624,Autre,2024-05-27,2024-06-06,Oui,2,10
11030,1927,601,Relevé de notes,2022-03-13,2022-03-27,Oui,4,14
11031,2161,613,Attestation,2024-05-19,2024-05-21,Oui,3,2
11032,1193,628,Autre,2025-01-17,2025-01-22,Non,3,5
11033,1942,612,Équivalence,2022-05-03,2022-05-08,Oui,1,5
11034,1086,626,Relevé de notes,2023-12-31,2024-01-12,Oui,5,12
11035,1669,623,Relevé de notes,2023-04-03,2023-04-13,Non,4,10
