id_devoir,id_module,id_professeur,date_donne,date_rendu,type,duree_estimee_h
8001,314,405,2022-12-16,2022-12-24,DS,5.7
8002,314,469,2023-12-07,2023-12-19,DS,5.7
8003,341,412,2024-02-17,2024-03-07,DS,1.2
8004,321,461,2023-05-09,2023-05-26,TP,7.7
8005,317,402,2023-11-07,2023-11-12,DS,5.0
8006,350,441,2024-07-13,2024-07-27,DS,6.5
8007,304,457,2024-09-10,2024-09-19,TP,1.5
8008,356,436,2023-11-06,2023-11-17,TP,6.3
8009,320,409,2023-02-24,2023-03-04,TP,7.1
8010,321,438,2023-12-29,2024-01-15,TP,2.0
8011,349,468,2025-03-20,2025-03-29,DS,2.6
8012,304,455,2025-01-11,2025-01-25,DS,6.2
8013,306,455,2024-11-24,2024-12-15,TP,3.8
8014,334,477,2023-04-18,2023-05-04,DS,5.4
8015,340,420,2023-08-13,2023-08-25,TP,7.4
8016,326,441,2023-11-07,2023-11-16,DS,6.9
8017,319,455,2024-01-21,2024-02-03,TP,2.3
8018,315,413,2025-04-05,2025-04-23,TP,5.1
8019,301,456,2023-07-20,2023-07-26,TP,5.5
8020,307,413,2023-06-22,2023-07-03,TP,7.9
8021,342,414,2025-04-08,2025-04-20,Projet,5.7
8022,328,431,2024-06-18,2024-06-26,Projet,1.1
8023,335,477,2024-01-22,2024-01-28,Projet,4.4
8024,337,442,2023-11-13,2023-12-02,Projet,3.6
8025,336,468,2022-12-24,2023-01-05,DS,2.9
8026,344,442,2024-08-13,2024-08-26,Projet,3.0
8027,354,464,2023-07-11,2023-07-23,DS,2.9
8028,324,478,2023-04-17,2023-05-07,DS,4.0
8029,331,405,2024-05-10,2024-05-18,Projet,4.0
8030,324,420,2024-10-30,2024-11-15,DS,1.5
8031,354,462,2024-12-07,2024-12-22,DS,2.8
8032,351,473,2022-09-05,2022-09-16,TP,1.1
8033,348,415,2025-03-22,2025-04-12,TP,5.3
8034,337,458,2024-03-24,2024-04-06,Projet,1.1
8035,323,422,2024-05-28,2024-06-02,TP,6.1
8036,323,405,2024-07-04,2024-07-20,TP,7.5
8037,333,409,2023-02-04,2023-02-25,TP,4.1
8038,325,451,2023-02-04,2023-02-25,DS,3.8
8039,348,478,2023-03-30,2023-04-09,TP,1.5
8040,341,413,2025-04-20,2025-04-27,Projet,3.4
8041,303,449,2023-06-03,2023-06-13,Projet,4.4
8042,358,479,2024-06-23,2024-06-28,Projet,7.8
8043,348,407,2024-09-23,2024-10-10,Projet,6.6
8044,349,416,2022-12-01,2022-12-10,Projet,6.8
8045,360,475,2023-12-16,2023-12-31,Projet,2.0
8046,310,421,2024-03-21,2024-04-01,DS,7.7
8047,322,450,2023-03-09,2023-03-29,TP,2.0
8048,353,428,2022-09-03,2022-09-24,TP,7.6
8049,328,416,2025-03-02,2025-03-20,DS,5.8
8050,308,434,2024-08-17,2024-08-24,DS,3.0
8051,332,464,2023-02-26,2023-03-09,DS,2.4
8052,332,430,2024-06-28,2024-07-18,TP,2.3
8053,307,440,2024-11-12,2024-11-21,DS,5.3
8054,303,457,2023-03-09,2023-03-21,TP,2.8
8055,342,466,2023-09-14,2023-10-03,DS,5.3
8056,319,419,2024-05-24,2024-06-08,DS,7.8
8057,322,473,2024-07-10,2024-07-19,Projet,7.7
8058,322,429,2024-11-21,2024-11-26,Projet,3.5
8059,355,471,2024-08-06,2024-08-26,TP,5.3
8060,339,429,2024-08-24,2024-09-10,TP,5.7
8061,332,427,2023-03-06,2023-03-25,Projet,3.4
8062,315,467,2023-01-31,2023-02-08,TP,7.7
8063,358,410,2024-11-12,2024-11-21,Projet,2.0
8064,321,414,2023-05-04,2023-05-12,Projet,7.2
8065,316,427,2022-11-15,2022-11-21,DS,1.2
8066,313,448,2023-08-03,2023-08-09,DS,7.1
8067,337,436,2023-10-20,2023-11-10,TP,6.0
8068,307,422,2025-02-14,2025-02-25,DS,6.8
8069,312,430,2023-01-08,2023-01-18,DS,4.9
8070,316,468,2024-11-13,2024-11-28,Projet,7.0
8071,304,474,2023-12-30,2024-01-13,DS,5.1
8072,307,432,2025-01-01,2025-01-21,DS,7.9
8073,336,457,2023-08-28,2023-09-18,DS,4.4
8074,308,429,2023-02-21,2023-03-01,TP,6.7
8075,336,424,2024-09-28,2024-10-07,TP,5.5
8076,301,480,2024-02-11,2024-02-22,TP,1.5
8077,340,430,2022-12-19,2022-12-26,TP,6.9
8078,318,477,2023-07-06,2023-07-18,Projet,1.0
8079,341,436,2023-11-29,2023-12-18,Projet,6.6
8080,308,413,2024-03-10,2024-03-22,DS,4.1
8081,317,474,2024-07-19,2024-08-01,TP,2.2
8082,324,441,2025-01-10,2025-01-24,DS,4.1
8083,357,402,2024-01-13,2024-01-18,TP,7.4
8084,323,442,2025-03-29,2025-04-19,Projet,1.9
8085,359,434,2023-03-29,2023-04-06,Projet,1.9
8086,302,472,2024-02-06,2024-02-16,Projet,5.6
8087,334,442,2023-04-26,2023-05-02,DS,6.1
8088,318,463,2024-03-01,2024-03-21,Projet,7.8
8089,311,444,2024-10-22,2024-11-12,TP,6.2
8090,330,409,2023-04-13,2023-04-29,TP,6.4
8091,321,431,2022-12-12,2022-12-23,Projet,1.2
8092,302,449,2024-10-30,2024-11-17,TP,5.8
8093,304,452,2024-01-19,2024-01-30,DS,1.6
8094,351,409,2024-04-09,2024-04-27,Projet,1.7
8095,338,443,2022-12-16,2022-12-31,Projet,2.5
8096,316,463,2024-05-02,2024-05-13,Projet,1.8
8097,317,408,2023-03-14,2023-03-26,TP,4.5
8098,330,402,2022-11-19,2022-11-30,TP,5.0
