id_frais,id_etudiant,annee_universitaire,montant_du,montant_paye,date_paiement,statut,taux_recouvrement
13001,1447,2021-2022,23638,11545,2022-09-15,Partiel,0.4884084947965141
13002,1447,2022-2023,15743,15743,2024-06-28,Payé,1.0
13003,1512,2024-2025,22418,22418,2022-06-18,Payé,1.0
13004,1512,2020-2021,18831,18831,2024-11-18,Payé,1.0
13005,2152,2023-2024,18284,18284,2022-04-28,Payé,1.0
13006,2152,2024-2025,24287,24287,2023-08-25,Payé,1.0
13007,2152,2020-2021,23448,16852,2024-04-04,Partiel,0.7186966905493006
13008,1405,2022-2023,18001,18001,2023-12-23,Payé,1.0
13009,1482,2022-2023,21202,21202,2024-03-07,Payé,1.0
13010,1482,2020-2021,21166,10676,2024-12-27,Partiel,0.5043938391760371
13011,1482,2023-2024,16637,16637,2022-12-24,Payé,1.0
13012,1889,2023-2024,23551,23551,2022-07-13,Payé,1.0
13013,1889,2020-2021,24077,24077,2025-01-31,Payé,1.0
13014,1889,2021-2022,24451,15107,2024-11-18,Partiel,0.6178479407795182
13015,1934,2024-2025,18937,18937,2023-10-25,Payé,1.0
13016,1407,2023-2024,22324,22324,2024-05-31,Payé,1.0
13017,1829,2023-2024,21235,21235,2023-10-30,Payé,1.0
13018,1829,2021-2022,17303,17303,2023-10-03,Payé,1.0
13019,1144,2023-2024,17387,17387,2021-09-24,Payé,1.0
13020,1613,2023-2024,18612,18612,2021-09-23,Payé,1.0
13021,1128,2020-2021,16142,7721,2024-07-12,Partiel,0.4783174327840417
13022,1128,2022-2023,17314,17314,2024-06-22,Payé,1.0
13023,1582,2020-2021,19594,15017,2024-09-19,Partiel,0.7664080841073798
13024,1582,2024-2025,21457,21457,2021-09-10,Payé,1.0
13025,1582,2023-2024,23106,17497,2024-04-18,Partiel,0.7572491993421622
13026,2022,2020-2021,23525,23525,2024-12-03,Payé,1.0
13027,2022,2023-2024,21567,0,2024-09-04,Impayé,0.0
13028,2022,2021-2022,21805,21805,2022-05-12,Payé,1.0
13029,1848,2021-2022,22062,22062,2023-12-28,Payé,1.0
13030,1848,2022-2023,19264,0,2021-11-22,Impayé,0.0
13031,1848,2024-2025,23875,23875,2024-10-06,Payé,1.0
13032,1157,2020-2021,15261,15261,2022-08-16,Payé,1.0
13033,1157,2021-2022,24058,24058,2022-09-03,Payé,1.0
13034,1157,2022-2023,21794,21794,2023-04-26,Payé,1.0
13035,1591,2023-2024,24724,24724,2023-12-26,Payé,1.0
13036,1591,2020-2021,18258,18258,2024-04-26,Payé,1.0
13037,1748,2022-2023,19092,19092,2022-09-11,Payé,1.0
13038,1748,2023-2024,23493,12732,2024-06-16,Partiel,0.541948665559954
13039,1748,2021-2022,23144,0,2023-05-05,Impayé,0.0
13040,1862,2024-2025,23125,23125,2022-10-17,Payé,1.0
13041,1179,2024-2025,16756,13308,2024-08-05,Partiel,0.7942229649080926
13042,1655,2020-2021,16872,16872,2023-11-19,Payé,1.0
13043,1655,2024-2025,23901,23901,2022-02-07,Payé,1.0
13044,2098,2023-2024,20760,20760,2023-09-19,Payé,1.0
13045,2098,2022-2023,19478,19478,2023-05-01,Payé,1.0
13046,1221,2023-2024,17097,17097,2023-06-08,Payé,1.0
13047,2035,2024-2025,21791,14645,2024-03-24,Partiel,0.6720664494516084
13048,2035,2022-2023,15258,15258,2023-06-22,Payé,1.0
13049,2035,2020-2021,18000,8311,2025-02-22,Partiel,0.4617222222222222
13050,1228,2023-2024,17679,17679,2023-11-05,Payé,1.0
13051,1154,2022-2023,24505,24505,2024-03-29,Payé,1.0
13052,1154,2021-2022,22168,22168,2023-01-28,Payé,1.0
13053,1154,2024-2025,24022,24022,2022-04-15,Payé,1.0
13054,1024,2024-2025,19294,0,2024-09-12,Impayé,0.0
13055,1024,2020-2021,15435,15435,2022-12-20,Payé,1.0
13056,1024,2022-2023,23797,23797,2022-04-23,Payé,1.0
13057,1816,2020-2021,24176,24176,2024-11-09,Payé,1.0
13058,1816,2024-2025,19710,19710,2023-12-02,Payé,1.0
13059,1816,2023-2024,18831,12568,2021-12-17,Partiel,0.6674101216079869
13060,2184,2021-2022,15137,15137,2023-01-25,Payé,1.0
13061,1310,2023-2024,17172,17172,2022-08-08,Payé,1.0
13062,1310,2022-2023,16365,8796,2022-09-06,Partiel,0.5374885426214482
13063,1310,2020-2021,16410,16410,2025-01-16,Payé,1.0
13064,1378,2020-2021,24923,24923,2023-07-21,Payé,1.0
13065,1378,2021-2022,21546,0,2023-12-02,Impayé,0.0
13066,1337,2020-2021,16479,0,2021-10-18,Impayé,0.0
13067,1484,2022-2023,17578,17578,2021-10-24,Payé,1.0
13068,1131,2022-2023,23840,23840,2024-11-09,Payé,1.0
13069,1131,2020-2021,22870,22870,2023-07-15,Payé,1.0
13070,1131,2023-2024,17610,17610,2022-07-24,Payé,1.0
13071,2005,2022-2023,19446,10808,2023-12-31,Partiel,0.5557955363570914
13072,2005,2020-2021,22164,22164,2024-10-22,Payé,1.0
13073,2034,2023-2024,18032,18032,2025-01-15,Payé,1.0
13074,1703,2020-2021,19076,11531,2025-02-13,Partiel,0.6044768295240093
13075,1703,2021-2022,23089,23089,2023-09-30,Payé,1.0
13076,2071,2023-2024,24685,24685,2022-09-28,Payé,1.0
13077,2071,2021-2022,22116,22116,2022-03-23,Payé,1.0
13078,2071,2020-2021,17868,8552,2021-09-21,Partiel,0.4786209984329527
13079,1431,2020-2021,17363,0,2022-08-30,Impayé,0.0
13080,1431,2022-2023,20102,0,2023-09-20,Impayé,0.0
13081,1302,2024-2025,15391,15391,2024-12-07,Payé,1.0
13082,1302,2022-2023,23133,23133,2021-10-14,Payé,1.0
13083,1302,2021-2022,19145,19145,2024-11-22,Payé,1.0
13084,1086,2024-2025,20661,20661,2022-12-01,Payé,1.0
13085,1086,2020-2021,22882,22882,2024-04-25,Payé,1.0
13086,1086,2022-2023,15715,7907,2024-11-28,Partiel,0.5031498568246898
13087,1132,2023-2024,15962,15962,2022-04-03,Payé,1.0
13088,1080,2023-2024,17539,17539,2024-09-11,Payé,1.0
13089,2146,2020-2021,20325,20325,2024-08-16,Payé,1.0
13090,2146,2023-2024,19670,19670,2023-06-06,Payé,1.0
13091,2146,2022-2023,20389,8365,2025-01-09,Partiel,0.4102702437588896
13092,2061,2021-2022,21445,21445,2024-04-01,Payé,1.0
