id_inscription,id_etudiant,annee_universitaire,type,date_inscription,filiere,niveau,annee
2001,1001,2020-2021,Nouveau,2021-02-27,Finance & Comptabilité,S2,2020-2021
2002,1002,2021-2022,Nouveau,2022-02-11,Génie Electrique,S2,2021-2022
2003,1002,2021-2022,Réinscrit,2020-02-16,Génie Electrique,S1,2021-2022
2004,1003,2020-2021,Nouveau,2019-07-16,Droit des Affaires,S1,2020-2021
2005,1003,2023-2024,Réinscrit,2023-07-03,Droit des Affaires,S1,2023-2024
2006,1003,2021-2022,Réinscrit,2019-11-16,Droit des Affaires,S1,2021-2022
2007,1003,2024-2025,Réinscrit,2019-05-01,Droit des Affaires,S4,2024-2025
2008,1004,2022-2023,Nouveau,2019-02-25,Génie Civil,S1,2022-2023
2009,1005,2020-2021,Nouveau,2019-10-01,Génie Electrique,S1,2020-2021
2010,1005,2024-2025,Réinscrit,2020-12-20,Génie Electrique,S5,2024-2025
2011,1005,2021-2022,Réinscrit,2020-09-26,Génie Electrique,S6,2021-2022
2012,1006,2020-2021,Nouveau,2019-09-07,Génie Informatique,S2,2020-2021
2013,1006,2022-2023,Réinscrit,2022-07-26,Génie Informatique,S3,2022-2023
2014,1006,2021-2022,Réinscrit,2024-04-12,Génie Informatique,S6,2021-2022
2015,1007,2024-2025,Nouveau,2019-06-07,Finance & Comptabilité,S1,2024-2025
2016,1007,2024-2025,Réinscrit,2018-10-28,Finance & Comptabilité,S5,2024-2025
2017,1008,2021-2022,Nouveau,2021-10-29,Droit des Affaires,S2,2021-2022
2018,1008,2024-2025,Réinscrit,2018-09-18,Droit des Affaires,S6,2024-2025
2019,1009,2021-2022,Nouveau,2024-04-27,Finance & Comptabilité,S6,2021-2022
2020,1010,2022-2023,Nouveau,2020-09-28,Marketing,S4,2022-2023
2021,1010,2020-2021,Réinscrit,2020-09-10,Marketing,S3,2020-2021
2022,1010,2023-2024,Réinscrit,2023-06-04,Marketing,S2,2023-2024
2023,1010,2024-2025,Réinscrit,2021-03-21,Marketing,S4,2024-2025
2024,1011,2022-2023,Nouveau,2020-01-20,Génie Electrique,S4,2022-2023
2025,1012,2024-2025,Nouveau,2020-03-10,Marketing,S4,2024-2025
2026,1013,2022-2023,Nouveau,2019-02-14,Droit des Affaires,S1,2022-2023
2027,1013,2022-2023,Réinscrit,2024-03-15,Droit des Affaires,S1,2022-2023
2028,1013,2023-2024,Réinscrit,2021-11-05,Droit des Affaires,S4,2023-2024
2029,1014,2023-2024,Nouveau,2021-03-14,Finance & Comptabilité,S5,2023-2024
2030,1014,2023-2024,Réinscrit,2021-12-04,Finance & Comptabilité,S4,2023-2024
2031,1014,2021-2022,Réinscrit,2019-06-13,Finance & Comptabilité,S4,2021-2022
2032,1015,2021-2022,Nouveau,2018-10-23,Génie Civil,S6,2021-2022
2033,1015,2023-2024,Réinscrit,2019-11-05,Génie Civil,S4,2023-2024
2034,1015,2023-2024,Réinscrit,2024-07-11,Génie Civil,S6,2023-2024
2035,1016,2020-2021,Nouveau,2020-04-10,Marketing,S4,2020-2021
2036,1017,2024-2025,Nouveau,2019-10-22,Génie Civil,S6,2024-2025
2037,1017,2021-2022,Réinscrit,2019-05-24,Génie Civil,S3,2021-2022
2038,1017,2021-2022,Réinscrit,2022-06-19,Génie Civil,S2,2021-2022
2039,1017,2024-2025,Réinscrit,2023-03-14,Génie Civil,S1,2024-2025
2040,1018,2023-2024,Nouveau,2024-04-06,Marketing,S3,2023-2024
2041,1018,2024-2025,Réinscrit,2021-09-23,Marketing,S6,2024-2025
2042,1019,2022-2023,Nouveau,2024-01-01,Génie Electrique,S6,2022-2023
2043,1019,2024-2025,Réinscrit,2023-03-15,Génie Electrique,S4,2024-2025
2044,1019,2024-2025,Réinscrit,2021-10-17,Génie Electrique,S2,2024-2025
2045,1019,2023-2024,Réinscrit,2019-11-17,Génie Electrique,S1,2023-2024
2046,1020,2023-2024,Nouveau,2024-03-29,Génie Electrique,S2,2023-2024
2047,1020,2021-2022,Réinscrit,2018-12-31,Génie Electrique,S1,2021-2022
2048,1020,2020-2021,Réinscrit,2019-06-07,Génie Electrique,S4,2020-2021
2049,1021,2021-2022,Nouveau,2022-12-16,Droit des Affaires,S5,2021-2022
2050,1022,2021-2022,Nouveau,2022-01-23,Finance & Comptabilité,S5,2021-2022
2051,1022,2024-2025,Réinscrit,2019-09-30,Finance & Comptabilité,S1,2024-2025
2052,1022,2024-2025,Réinscrit,2024-03-09,Finance & Comptabilité,S4,2024-2025
2053,1023,2022-2023,Nouveau,2024-04-01,Génie Electrique,S4,2022-2023
2054,1023,2024-2025,Réinscrit,2021-08-07,Génie Electrique,S5,2024-2025
2055,1024,2024-2025,Nouveau,2018-11-12,Marketing,S1,2024-2025
2056,1024,2023-2024,Réinscrit,2020-01-01,Marketing,S4,2023-2024
2057,1024,2023-2024,Réinscrit,2022-03-12,Marketing,S4,2023-2024
2058,1025,2023-2024,Nouveau,2019-01-26,Marketing,S1,2023-2024
2059,1025,2021-2022,Réinscrit,2022-01-24,Marketing,S6,2021-2022
2060,1025,2021-2022,Réinscrit,2024-03-06,Marketing,S4,2021-2022
2061,1025,2021-2022,Réinscrit,2022-03-03,Marketing,S6,2021-2022
2062,1026,2023-2024,Nouveau,2019-11-23,Génie Civil,S5,2023-2024
2063,1026,2023-2024,Réinscrit,2024-09-18,Génie Civil,S5,2023-2024
2064,1026,2023-2024,Réinscrit,2024-01-02,Génie Civil,S5,2023-2024
2065,1026,2021-2022,Réinscrit,2024-05-07,Génie Civil,S1,2021-2022
2066,1027,2022-2023,Nouveau,2024-03-19,Génie Informatique,S5,2022-2023
2067,1027,2023-2024,Réinscrit,2022-08-15,Génie Informatique,S3,2023-2024
2068,1027,2022-2023,Réinscrit,2019-05-10,Génie Informatique,S1,2022-2023
2069,1027,2024-2025,Réinscrit,2019-03-04,Génie Informatique,S2,2024-2025
2070,1028,2022-2023,Nouveau,2018-12-20,Marketing,S6,2022-2023
2071,1028,2022-2023,Réinscrit,2022-12-07,Marketing,S1,2022-2023
2072,1028,2023-2024,Réinscrit,2022-07-15,Marketing,S3,2023-2024
2073,1029,2022-2023,Nouveau,2019-04-20,Génie Civil,S6,2022-2023
2074,1029,2021-2022,Réinscrit,2021-06-11,Génie Civil,S2,2021-2022
2075,1029,2022-2023,Réinscrit,2019-08-14,Génie Civil,S6,2022-2023
2076,1029,2020-2021,Réinscrit,2022-01-31,Génie Civil,S1,2020-2021
2077,1030,2021-2022,Nouveau,2018-11-20,Finance & Comptabilité,S5,2021-2022
2078,1030,2022-2023,Réinscrit,2019-02-01,Finance & Comptabilité,S4,2022-2023
2079,1030,2023-2024,Réinscrit,2024-06-09,Finance & Comptabilité,S4,2023-2024
2080,1031,2020-2021,Nouveau,2023-12-07,Génie Electrique,S5,2020-2021
2081,1031,2020-2021,Réinscrit,2022-03-20,Génie Electrique,S4,2020-2021
2082,1031,2024-2025,Réinscrit,2023-01-16,Génie Electrique,S3,2024-2025
2083,1032,2023-2024,Nouveau,2019-10-15,Génie Electrique,S6,2023-2024
2084,1033,2022-2023,Nouveau,2024-03-27,Marketing,S5,2022-2023
2085,1033,2022-2023,Réinscrit,2020-07-14,Marketing,S5,2022-2023
2086,1034,2022-2023,Nouveau,2023-07-22,Génie Electrique,S2,2022-2023
2087,1034,2023-2024,Réinscrit,2019-07-06,Génie Electrique,S5,2023-2024
2088,1034,2021-2022,Réinscrit,2021-11-21,Génie Electrique,S3,2021-2022
2089,1035,2022-2023,Nouveau,2023-03-05,Finance & Comptabilité,S2,2022-2023
2090,1036,2024-2025,Nouveau,2019-09-24,Génie Informatique,S5,2024-2025
2091,1037,2022-2023,Nouveau,2019-06-03,Droit des Affaires,S5,2022-2023
2092,1037,2024-2025,Réinscrit,2023-12-30,Droit des Affaires,S4,2024-2025
2093,1037,2021-2022,Réinscrit,2022-07-24,Droit des Affaires,S1,2021-2022
2094,1038,2024-2025,Nouveau,2022-01-11,Marketing,S4,2024-2025
2095,1038,2024-2025,Réinscrit,2022-03-07,Marketing,S2,2024-2025
2096,1038,2023-2024,Réinscrit,2023-03-06,Marketing,S3,2023-2024
2097,1039,2024-2025,Nouveau,2020-09-09,Finance & Comptabilité,S1,2024-2025
2098,1039,2024-2025,Réinscrit,2020-10-04,Finance & Comptabilité,S5,2024-2025
2099,1039,2023-2024,Réinscrit,2021-01-20,Finance & Comptabilité,S6,2023-2024
2100,1039,2023-2024,Réinscrit,2021-09-02,Finance & Comptabilité,S6,2023-2024
2101,1040,2024-2025,Nouveau,2019-05-04,Droit des Affaires,S5,2024-2025
2102,1040,2021-2022,Réinscrit,2022-10-02,Droit des Affaires,S4,2021-2022
2103,1040,2021-2022,Réinscrit,2021-05-12,Droit des Affaires,S2,2021-2022
2104,1040,2022-2023,Réinscrit,2023-07-20,Droit des Affaires,S4,2022-2023
2105,1041,2020-2021,Nouveau,2020-12-12,Génie Civil,S4,2020-2021
2106,1041,2022-2023,Réinscrit,2021-11-19,Génie Civil,S6,2022-2023
2107,1041,2021-2022,Réinscrit,2021-07-17,Génie Civil,S6,2021-2022
2108,1042,2023-2024,Nouveau,2021-05-04,Génie Informatique,S1,2023-2024
2109,1042,2021-2022,Réinscrit,2020-10-26,Génie Informatique,S1,2021-2022
2110,1043,2022-2023,Nouveau,2023-11-15,Marketing,S4,2022-2023
2111,1043,2024-2025,Réinscrit,2023-07-23,Marketing,S4,2024-2025
2112,1044,2021-2022,Nouveau,2020-06-14,Génie Electrique,S3,2021-2022
2113,1045,2020-2021,Nouveau,2021-07-25,Marketing,S3,2020-2021
2114,1045,2024-2025,Réinscrit,2020-08-21,Marketing,S6,2024-2025
2115,1046,2023-2024,Nouveau,2018-11-21,Génie Civil,S1,2023-2024
2116,1047,2022-2023,Nouveau,2022-01-03,Génie Electrique,S1,2022-2023
2117,1048,2022-2023,Nouveau,2019-09-05,Droit des Affaires,S4,2022-2023
2118,1048,2021-2022,Réinscrit,2021-04-24,Droit des Affaires,S1,2021-2022
2119,1048,2024-2025,Réinscrit,2024-04-11,Droit des Affaires,S1,2024-2025
2120,1048,2024-2025,Réinscrit,2024-07-22,Droit des Affaires,S3,2024-2025
2121,1049,2020-2021,Nouveau,2021-05-03,Génie Informatique,S5,2020-2021
2122,1049,2020-2021,Réinscrit,2022-03-07,Génie Informatique,S3,2020-2021
2123,1049,2024-2025,Réinscrit,2023-01-15,Génie Informatique,S6,2024-2025
2124,1049,2021-2022,Réinscrit,2023-05-30,Génie Informatique,S2,2021-2022
2125,1050,2020-2021,Nouveau,2020-08-18,Droit des Affaires,S2,2020-2021
2126,1050,2022-2023,Réinscrit,2023-08-06,Droit des Affaires,S4,2022-2023
2127,1051,2024-2025,Nouveau,2019-04-18,Marketing,S4,2024-2025
2128,1051,2024-2025,Réinscrit,2022-11-13,Marketing,S6,2024-2025
2129,1051,2020-2021,Réinscrit,2022-03-20,Marketing,S5,2020-2021
2130,1052,2023-2024,Nouveau,2021-06-06,Finance & Comptabilité,S3,2023-2024
2131,1052,2021-2022,Réinscrit,2022-09-26,Finance & Comptabilité,S4,2021-2022
2132,1052,2022-2023,Réinscrit,2022-02-14,Finance & Comptabilité,S1,2022-2023
2133,1052,2024-2025,Réinscrit,2019-01-21,Finance & Comptabilité,S6,2024-2025
2134,1053,2021-2022,Nouveau,2021-07-03,Génie Civil,S5,2021-2022
2135,1054,2022-2023,Nouveau,2022-09-26,Marketing,S6,2022-2023
2136,1054,2020-2021,Réinscrit,2024-08-30,Marketing,S2,2020-2021
2137,1054,2023-2024,Réinscrit,2023-01-09,Marketing,S1,2023-2024
2138,1054,2023-2024,Réinscrit,2021-07-13,Marketing,S3,2023-2024
2139,1055,2021-2022,Nouveau,2022-01-01,Droit des Affaires,S2,2021-2022
2140,1056,2023-2024,Nouveau,2022-03-23,Finance & Comptabilité,S6,2023-2024
2141,1056,2023-2024,Réinscrit,2019-01-17,Finance & Comptabilité,S3,2023-2024
2142,1057,2023-2024,Nouveau,2023-12-13,Marketing,S6,2023-2024
2143,1058,2022-2023,Nouveau,2023-05-28,Génie Civil,S1,2022-2023
2144,1058,2021-2022,Réinscrit,2021-08-04,Génie Civil,S5,2021-2022
2145,1058,2020-2021,Réinscrit,2022-08-12,Génie Civil,S4,2020-2021
2146,1058,2024-2025,Réinscrit,2022-05-01,Génie Civil,S4,2024-2025
2147,1059,2020-2021,Nouveau,2020-09-22,Marketing,S6,2020-2021
2148,1060,2021-2022,Nouveau,2018-09-13,Génie Electrique,S4,2021-2022
2149,1060,2021-2022,Réinscrit,2022-02-03,Génie Electrique,S3,2021-2022
2150,1060,2024-2025,Réinscrit,2019-08-03,Génie Electrique,S1,2024-2025
2151,1060,2021-2022,Réinscrit,2021-06-19,Génie Electrique,S5,2021-2022
2152,1061,2024-2025,Nouveau,2023-04-08,Génie Electrique,S3,2024-2025
2153,1061,2023-2024,Réinscrit,2024-01-12,Génie Electrique,S6,2023-2024
2154,1062,2022-2023,Nouveau,2020-08-11,Finance & Comptabilité,S6,2022-2023
2155,1062,2024-2025,Réinscrit,2022-05-04,Finance & Comptabilité,S3,2024-2025
2156,1063,2020-2021,Nouveau,2023-04-25,Droit des Affaires,S3,2020-2021
2157,1063,2021-2022,Réinscrit,2023-01-29,Droit des Affaires,S4,2021-2022
2158,1064,2020-2021,Nouveau,2018-12-04,Génie Electrique,S5,2020-2021
2159,1064,2024-2025,Réinscrit,2021-03-25,Génie Electrique,S1,2024-2025
2160,1065,2021-2022,Nouveau,2021-08-08,Génie Informatique,S6,2021-2022
2161,1065,2021-2022,Réinscrit,2019-03-23,Génie Informatique,S4,2021-2022
2162,1065,2024-2025,Réinscrit,2023-06-23,Génie Informatique,S5,2024-2025
2163,1065,2022-2023,Réinscrit,2020-05-04,Génie Informatique,S1,2022-2023
2164,1066,2021-2022,Nouveau,2019-12-25,Génie Informatique,S1,2021-2022
2165,1066,2024-2025,Réinscrit,2023-07-19,Génie Informatique,S4,2024-2025
2166,1066,2023-2024,Réinscrit,2019-12-30,Génie Informatique,S2,2023-2024
2167,1067,2021-2022,Nouveau,2021-08-26,Marketing,S3,2021-2022
2168,1067,2023-2024,Réinscrit,2022-12-13,Marketing,S2,2023-2024
2169,1068,2021-2022,Nouveau,2021-01-30,Droit des Affaires,S3,2021-2022
2170,1068,2021-2022,Réinscrit,2023-05-11,Droit des Affaires,S2,2021-2022
2171,1068,2023-2024,Réinscrit,2020-04-20,Droit des Affaires,S1,2023-2024
2172,1068,2022-2023,Réinscrit,2021-08-08,Droit des Affaires,S2,2022-2023
2173,1069,2021-2022,Nouveau,2022-10-24,Génie Informatique,S5,2021-2022
