id_insertion,id_etudiant,date_diplome,date_fin_etudes,date_premier_emploi,salaire_embauche,secteur,type_poursuite
10001,1006,2023-01-13,2023-01-13,2023-09-06,17727,Education,Emploi
10002,1007,2023-07-03,2023-07-03,2024-01-27,12137,Industrie,Emploi
10003,1008,2022-08-22,2022-08-22,2023-08-25,15494,IT,Thèse
10004,1012,2020-08-10,2020-08-10,2020-09-14,11976,Education,Thèse
10005,1015,2024-03-18,2024-03-18,2025-04-13,9486,Industrie,Rien
10006,1016,2023-04-07,2023-04-07,2024-04-02,15681,IT,Emploi
10007,1020,2023-05-11,2023-05-11,2023-06-14,5405,Education,Master
10008,1021,2023-09-19,2023-09-19,2024-07-06,11431,Immobilier,Thèse
10009,1024,2024-05-04,2024-05-04,2025-03-21,7416,Immobilier,Emploi
10010,1025,2021-12-01,2021-12-01,2022-11-26,16961,IT,Emploi
10011,1031,2024-04-14,2024-04-14,2024-05-22,18947,Finance,Emploi
10012,1032,2021-11-30,2021-11-30,2022-11-10,5431,Education,Emploi
10013,1034,2023-01-13,2023-01-13,2023-06-06,10171,Education,Thèse
10014,1039,2023-02-24,2023-02-24,2023-10-03,9098,Logistique,Rien
10015,1046,2022-01-09,2022-01-09,2022-07-22,8523,Santé,Emploi
10016,1050,2022-01-23,2022-01-23,2023-01-04,13480,Finance,Master
10017,1056,2024-06-05,2024-06-05,2024-08-05,12310,Immobilier,Emploi
10018,1057,2023-08-20,2023-08-20,2024-07-24,14540,Santé,Emploi
10019,1059,2021-03-19,2021-03-19,2021-07-03,7411,Immobilier,Emploi
10020,1060,2022-10-28,2022-10-28,2023-05-03,18054,Santé,Emploi
10021,1065,2024-03-14,2024-03-14,2024-05-26,16343,IT,Emploi
10022,1066,2021-10-09,2021-10-09,2022-03-09,19247,Finance,Master
10023,1068,2021-03-30,2021-03-30,2022-01-08,5167,Santé,Emploi
10024,1071,2022-06-15,2022-06-15,2022-08-14,17841,Santé,Master
10025,1073,2022-10-08,2022-10-08,2023-09-16,12056,Immobilier,Master
10026,1074,2022-11-12,2022-11-12,2023-12-02,13445,Logistique,Thèse
10027,1075,2023-06-06,2023-06-06,2024-06-24,5581,IT,Emploi
10028,1076,2021-01-08,2021-01-08,2021-06-16,10375,Logistique,Thèse
10029,1078,2023-07-10,2023-07-10,2024-02-18,14736,Immobilier,Rien
10030,1079,2020-06-21,2020-06-21,2020-09-18,18960,Education,Master
10031,1081,2020-10-23,2020-10-23,2021-02-09,16425,Finance,Emploi
10032,1087,2023-03-17,2023-03-17,2023-10-08,18085,Finance,Thèse
10033,1094,2020-07-22,2020-07-22,2021-03-15,14178,Logistique,Master
10034,1098,2023-11-18,2023-11-18,2024-12-02,6213,IT,Thèse
10035,1101,2022-06-20,2022-06-20,2023-04-17,18269,IT,Emploi
10036,1103,2023-08-09,2023-08-09,2023-12-29,17999,Immobilier,Thèse
10037,1115,2021-04-18,2021-04-18,2021-07-30,17999,IT,Emploi
10038,1117,2022-03-15,2022-03-15,2022-10-13,19158,IT,Master
10039,1123,2021-06-10,2021-06-10,2021-10-26,7722,Finance,Master
10040,1131,2022-02-12,2022-02-12,2022-12-13,19784,IT,Thèse
10041,1134,2021-12-25,2021-12-25,2022-03-07,7843,Logistique,Thèse
10042,1139,2023-08-16,2023-08-16,2024-07-05,10604,Finance,Master
10043,1141,2022-12-03,2022-12-03,2023-07-26,13460,Industrie,Emploi
10044,1143,2021-08-02,2021-08-02,2021-09-27,8577,Finance,Thèse
10045,1144,2022-03-11,2022-03-11,2022-11-18,13757,Education,Master
10046,1145,2020-08-25,2020-08-25,2021-05-28,5199,Immobilier,Thèse
10047,1149,2024-02-11,2024-02-11,2025-02-19,16458,Education,Rien
10048,1151,2022-06-27,2022-06-27,2023-07-24,5977,Logistique,Emploi
10049,1154,2022-11-01,2022-11-01,2023-03-17,11168,Finance,Master
10050,1155,2024-01-24,2024-01-24,2024-03-26,17117,Education,Rien
10051,1158,2023-02-18,2023-02-18,2023-08-16,5616,Logistique,Emploi
10052,1160,2023-03-27,2023-03-27,2024-03-22,6696,Santé,Thèse
10053,1162,2021-06-26,2021-06-26,2021-08-07,15303,Education,Emploi
10054,1165,2023-10-15,2023-10-15,2024-03-10,17492,Industrie,Emploi
10055,1169,2020-10-20,2020-10-20,2021-04-09,9710,Education,Thèse
10056,1173,2022-11-20,2022-11-20,2023-09-11,13745,Logistique,Rien
10057,1174,2023-09-02,2023-09-02,2024-07-17,10948,Education,Emploi
10058,1179,2023-08-25,2023-08-25,2024-01-22,5112,Immobilier,Thèse
10059,1180,2021-06-19,2021-06-19,2022-04-27,9303,IT,Master
10060,1182,2021-03-23,2021-03-23,2021-05-30,12537,Finance,Master
10061,1185,2022-03-19,2022-03-19,2022-10-31,17965,Education,Emploi
10062,1187,2021-06-24,2021-06-24,2021-09-16,13564,Industrie,Emploi
10063,1189,2024-01-28,2024-01-28,2024-09-23,5801,Immobilier,Emploi
10064,1196,2023-06-24,2023-06-24,2024-01-21,16164,Education,Emploi
10065,1200,2023-08-06,2023-08-06,2024-04-07,9889,Education,Rien
10066,1204,2023-07-05,2023-07-05,2023-09-07,13219,IT,Thèse
10067,1212,2021-12-10,2021-12-10,2022-01-16,13914,Industrie,Emploi
10068,1217,2023-06-19,2023-06-19,2024-02-23,10298,IT,Master
10069,1221,2022-12-28,2022-12-28,2023-03-03,14333,Industrie,Master
10070,1229,2023-03-21,2023-03-21,2024-03-13,17667,Finance,Thèse
10071,1231,2024-04-08,2024-04-08,2024-11-14,8802,Santé,Emploi
10072,1232,2022-02-17,2022-02-17,2022-12-15,12079,IT,Master
10073,1235,2022-08-27,2022-08-27,2023-04-08,7298,Finance,Emploi
10074,1241,2024-06-28,2024-06-28,2024-08-21,17505,Santé,Emploi
10075,1243,2020-06-14,2020-06-14,2021-05-09,14731,IT,Master
10076,1245,2021-12-10,2021-12-10,2022-11-25,10870,Finance,Thèse
10077,1247,2022-06-09,2022-06-09,2022-07-14,17886,Industrie,Emploi
10078,1248,2024-03-09,2024-03-09,2024-07-30,18755,Finance,Emploi
10079,1253,2022-10-03,2022-10-03,2023-05-23,14426,Logistique,Thèse
10080,1256,2022-07-11,2022-07-11,2023-03-19,17545,Logistique,Emploi
10081,1261,2022-06-08,2022-06-08,2022-07-22,19768,Education,Master
10082,1262,2020-07-13,2020-07-13,2021-04-30,17789,Immobilier,Emploi
10083,1264,2022-07-04,2022-07-04,2023-07-25,11867,IT,Emploi
10084,1273,2023-02-18,2023-02-18,2023-12-20,18370,Industrie,Master
10085,1275,2023-02-01,2023-02-01,2023-12-21,15493,Industrie,Emploi
10086,1277,2023-09-09,2023-09-09,2023-11-27,18901,IT,Emploi
10087,1281,2023-02-24,2023-02-24,2023-08-09,8386,Industrie,Emploi
10088,1282,2023-08-06,2023-08-06,2024-07-04,5625,Industrie,Thèse
10089,1285,2022-03-29,2022-03-29,2022-07-15,6240,Logistique,Emploi
10090,1286,2023-08-05,2023-08-05,2024-03-20,17120,Finance,Emploi
10091,1290,2023-09-27,2023-09-27,2023-12-29,5404,Santé,Emploi
10092,1297,2022-10-14,2022-10-14,2023-04-01,12456,Logistique,Emploi
10093,1299,2022-02-22,2022-02-22,2022-06-27,8767,Immobilier,Emploi
10094,1309,2021-09-10,2021-09-10,2022-01-04,6210,Finance,Thèse
10095,1314,2023-12-18,2023-12-18,2024-11-09,5738,Santé,Emploi
10096,1316,2024-01-19,2024-01-19,2024-09-18,16429,Industrie,Rien
10097,1321,2021-09-24,2021-09-24,2022-06-29,11750,Immobilier,Emploi
10098,1326,2023-07-06,2023-07-06,2023-09-29,16742,Logistique,Thèse
10099,1332,2021-10-24,2021-10-24,2021-11-26,14181,Education,Emploi
10100,1334,2021-10-12,2021-10-12,2021-12-31,19951,IT,Emploi
10101,1335,2021-04-29,2021-04-29,2021-10-03,12362,Logistique,Emploi
10102,1336,2020-06-27,2020-06-27,2020-11-10,9630,Industrie,Emploi
10103,1337,2021-07-07,2021-07-07,2021-11-06,12725,IT,Emploi
10104,1338,2023-12-19,2023-12-19,2024-04-05,17047,Santé,Emploi
10105,1344,2022-03-18,2022-03-18,2022-11-09,19466,Education,Emploi
10106,1345,2022-08-14,2022-08-14,2023-04-12,16406,Finance,Emploi
10107,1352,2024-02-09,2024-02-09,2024-08-27,18802,Finance,Emploi
10108,1357,2020-08-04,2020-08-04,2020-09-28,15733,Education,Emploi
10109,1358,2023-08-24,2023-08-24,2024-08-24,10245,Immobilier,Master
10110,1361,2021-08-15,2021-08-15,2022-06-19,6738,Santé,Master
10111,1362,2022-07-03,2022-07-03,2022-08-29,18693,Logistique,Emploi
10112,1364,2022-03-06,2022-03-06,2022-08-21,8313,Education,Emploi
10113,1367,2024-04-10,2024-04-10,2024-10-27,11811,Finance,Emploi
10114,1368,2023-07-22,2023-07-22,2024-07-11,5740,Santé,Rien
10115,1372,2022-12-17,2022-12-17,2023-11-29,19499,Immobilier,Master
10116,1374,2021-12-13,2021-12-13,2022-11-25,18896,Finance,Thèse
10117,1378,2021-12-30,2021-12-30,2022-10-27,19698,Logistique,Rien
10118,1379,2021-01-21,2021-01-21,2021-08-16,15046,Logistique,Master
10119,1381,2023-12-22,2023-12-22,2024-03-19,19328,IT,Emploi
10120,1382,2022-10-24,2022-10-24,2023-06-19,6390,Education,Master
10121,1389,2024-02-08,2024-02-08,2025-01-07,10117,Finance,Emploi
10122,1397,2022-12-18,2022-12-18,2023-03-05,5533,Logistique,Rien
10123,1398,2022-09-11,2022-09-11,2023-04-15,11225,Industrie,Emploi
10124,1404,2022-08-20,2022-08-20,2023-04-07,11423,Education,Rien
10125,1406,2022-06-12,2022-06-12,2022-12-07,17850,IT,Master
10126,1409,2024-02-27,2024-02-27,2024-09-14,8524,Logistique,Emploi
10127,1411,2023-12-21,2023-12-21,2025-01-04,10986,Santé,Emploi
10128,1412,2023-03-14,2023-03-14,2023-11-16,11503,Education,Emploi
10129,1417,2023-11-24,2023-11-24,2024-06-21,14274,Finance,Emploi
10130,1419,2021-05-12,2021-05-12,2022-05-16,8429,IT,Emploi
10131,1420,2021-02-27,2021-02-27,2021-07-26,18411,Education,Thèse
10132,1424,2020-12-27,2020-12-27,2021-09-02,7715,Santé,Emploi
10133,1430,2022-10-27,2022-10-27,2023-04-12,12656,IT,Thèse
10134,1431,2023-11-10,2023-11-10,2024-11-04,6616,Immobilier,Emploi
10135,1435,2022-08-12,2022-08-12,2022-10-30,9681,Industrie,Master
10136,1437,2023-06-29,2023-06-29,2024-04-18,8505,Industrie,Emploi
10137,1439,2024-05-29,2024-05-29,2024-12-16,13062,Finance,Rien
10138,1441,2024-02-11,2024-02-11,2024-09-19,16278,Industrie,Emploi
10139,1443,2020-11-25,2020-11-25,2021-11-27,10412,Immobilier,Emploi
10140,1445,2021-07-14,2021-07-14,2021-09-21,15163,Industrie,Master
10141,1446,2022-05-09,2022-05-09,2023-01-14,6705,Finance,Emploi
10142,1448,2022-11-27,2022-11-27,2022-12-29,7458,Education,Master
10143,1453,2022-01-14,2022-01-14,2022-10-14,7815,IT,Master
10144,1454,2022-12-22,2022-12-22,2023-11-12,16831,Santé,Master
10145,1457,2021-05-16,2021-05-16,2021-09-12,8400,Education,Rien
10146,1463,2021-01-12,2021-01-12,2021-10-16,16455,Finance,Rien
10147,1467,2023-11-02,2023-11-02,2024-11-23,19581,Santé,Emploi
10148,1468,2023-07-17,2023-07-17,2023-11-06,18217,IT,Emploi
10149,1474,2023-05-06,2023-05-06,2024-03-10,10117,Education,Emploi
10150,1495,2021-12-12,2021-12-12,2022-12-15,7955,Industrie,Emploi
10151,1497,2023-12-22,2023-12-22,2025-01-16,16269,Immobilier,Master
10152,1500,2024-03-27,2024-03-27,2025-04-09,12434,Finance,Rien
10153,1504,2023-05-17,2023-05-17,2024-01-31,9612,IT,Emploi
10154,1506,2020-07-27,2020-07-27,2021-04-14,7930,Santé,Emploi
10155,1508,2021-04-07,2021-04-07,2022-02-25,14427,Finance,Thèse
10156,1510,2023-02-23,2023-02-23,2023-09-18,11110,Santé,Emploi
10157,1524,2023-02-19,2023-02-19,2024-01-16,13576,Logistique,Emploi
10158,1525,2020-09-22,2020-09-22,2021-05-07,6871,Industrie,Master
10159,1528,2022-01-14,2022-01-14,2022-06-27,7240,Finance,Emploi
10160,1533,2020-11-24,2020-11-24,2021-09-09,5564,IT,Emploi
10161,1534,2021-11-16,2021-11-16,2022-06-04,9698,Education,Emploi
10162,1540,2024-02-17,2024-02-17,2024-05-21,9341,IT,Emploi
10163,1547,2021-02-20,2021-02-20,2021-12-10,19373,Industrie,Emploi
10164,1548,2022-02-28,2022-02-28,2023-01-04,8767,Finance,Master
10165,1552,2022-10-21,2022-10-21,2023-01-03,15063,Finance,Emploi
10166,1553,2024-01-23,2024-01-23,2025-01-28,10710,Education,Master
10167,1557,2021-01-27,2021-01-27,2021-07-31,9589,Industrie,Master
10168,1565,2021-10-16,2021-10-16,2022-07-25,15336,IT,Master
10169,1566,2021-06-03,2021-06-03,2021-07-13,6446,IT,Thèse
10170,1568,2022-07-21,2022-07-21,2023-06-29,6434,Santé,Emploi
10171,1580,2024-03-10,2024-03-10,2024-06-03,10694,IT,Master
10172,1582,2020-11-04,2020-11-04,2021-06-01,18216,Industrie,Thèse
10173,1594,2021-06-20,2021-06-20,2022-03-20,11382,Education,Master
10174,1595,2021-12-06,2021-12-06,2022-01-08,15857,Finance,Emploi
10175,1599,2021-07-18,2021-07-18,2021-12-31,6076,Santé,Rien
10176,1600,2023-04-04,2023-04-04,2023-06-08,5234,Finance,Emploi
10177,1601,2023-02-23,2023-02-23,2023-05-20,13608,Santé,Emploi
10178,1603,2024-01-07,2024-01-07,2024-03-29,14855,IT,Thèse
10179,1606,2022-05-08,2022-05-08,2022-07-29,9674,IT,Emploi
10180,1609,2020-12-20,2020-12-20,2021-06-11,13736,Immobilier,Emploi
10181,1612,2024-01-26,2024-01-26,2024-08-26,9903,Logistique,Emploi
10182,1623,2021-06-23,2021-06-23,2022-04-26,12295,Industrie,Thèse
10183,1624,2022-07-26,2022-07-26,2023-06-02,5544,Logistique,Rien
10184,1629,2023-01-13,2023-01-13,2023-05-12,13922,Santé,Rien
10185,1630,2024-06-27,2024-06-27,2024-09-04,17674,Education,Emploi
10186,1634,2020-09-10,2020-09-10,2021-07-10,8859,Education,Emploi
10187,1637,2023-04-29,2023-04-29,2023-07-03,10739,Education,Emploi
10188,1644,2022-02-27,2022-02-27,2022-12-25,7099,Santé,Emploi
10189,1645,2024-06-01,2024-06-01,2024-09-25,19686,Immobilier,Master
10190,1646,2020-07-18,2020-07-18,2021-06-17,14062,Santé,Thèse
10191,1647,2020-07-06,2020-07-06,2021-01-11,15852,Santé,Emploi
10192,1648,2021-12-17,2021-12-17,2022-05-24,10106,Industrie,Emploi
10193,1652,2020-07-15,2020-07-15,2021-07-19,5103,Immobilier,Rien
10194,1653,2020-06-06,2020-06-06,2020-11-16,10364,Immobilier,Emploi
10195,1654,2021-02-10,2021-02-10,2022-02-20,14153,Finance,Emploi
10196,1656,2023-04-14,2023-04-14,2023-06-25,17580,Santé,Master
10197,1657,2021-09-16,2021-09-16,2022-02-01,5791,Industrie,Master
10198,1665,2023-03-07,2023-03-07,2024-02-26,17362,Industrie,Thèse
10199,1666,2024-06-03,2024-06-03,2024-09-12,17117,Santé,Master
10200,1667,2021-06-11,2021-06-11,2021-10-04,8101,Santé,Master
10201,1670,2021-08-29,2021-08-29,2022-05-04,14197,IT,Emploi
10202,1673,2020-09-30,2020-09-30,2021-03-13,17467,Industrie,Master
10203,1678,2024-01-21,2024-01-21,2024-09-04,18359,IT,Rien
10204,1684,2023-09-12,2023-09-12,2023-11-05,8905,Industrie,Rien
