id_mobilite,id_etudiant,type,pays_destination,universite_partenaire,date_debut,date_fin,programme
20001,1135,Entrant,Italie,TU Berlin,2024-11-22,2025-09-04,Interne
20002,1805,Sortant,Canada,ULB,2023-01-12,2023-10-28,Campus France
20003,1138,Sortant,Belgique,MIT,2024-12-08,2025-04-02,Erasmus+
20004,1241,Entrant,USA,ULB,2024-12-07,2025-03-07,Fulbright
20005,1329,Sortant,Italie,Univ. Paris-Saclay,2022-12-24,2023-12-14,Interne
20006,1254,Entrant,Allemagne,ULB,2023-08-29,2023-12-29,Interne
20007,1420,Sortant,Allemagne,Politecnico,2024-05-30,2025-05-24,Fulbright
20008,1926,Sortant,Belgique,Univ. Paris-Saclay,2021-11-05,2022-09-23,Fulbright
20009,1595,Entrant,Allemagne,Politecnico,2023-06-03,2023-09-10,Fulbright
20010,1811,Sortant,USA,ULB,2023-09-14,2024-07-18,Interne
20011,1604,Sortant,Italie,McGill,2021-10-25,2022-10-04,Interne
20012,1119,Sortant,France,Politecnico,2021-12-19,2022-06-24,Interne
20013,1744,Entrant,USA,McGill,2024-08-27,2025-07-18,Erasmus+
20014,1186,Sortant,Espagne,MIT,2024-11-28,2025-06-01,Erasmus+
20015,2000,Entrant,France,ULB,2022-04-29,2023-01-10,Interne
20016,1798,Sortant,Canada,MIT,2023-04-25,2024-02-08,Erasmus+
20017,1972,Sortant,USA,Politecnico,2023-02-12,2024-01-01,Interne
20018,2045,Sortant,USA,INSA Lyon,2022-10-13,2023-07-30,Interne
20019,2075,Entrant,France,INSA Lyon,2023-03-01,2023-10-03,DAAD
20020,1728,Sortant,Belgique,Politecnico,2022-05-22,2023-01-09,Erasmus+
20021,1716,Sortant,Belgique,TU Berlin,2021-10-31,2022-07-17,Campus France
20022,1634,Sortant,Espagne,Univ. Paris-Saclay,2021-10-27,2022-06-20,Campus France
20023,1858,Sortant,Belgique,McGill,2022-02-22,2022-11-17,Erasmus+
20024,1522,Entrant,France,INSA Lyon,2024-10-18,2025-08-07,DAAD
20025,1286,Sortant,USA,MIT,2021-12-02,2022-04-17,Fulbright
20026,1999,Sortant,Italie,Politecnico,2024-07-03,2025-01-20,Campus France
20027,1778,Entrant,Espagne,Univ. Paris-Saclay,2022-09-18,2022-12-26,Erasmus+
20028,2106,Sortant,Allemagne,MIT,2022-12-06,2023-07-20,Fulbright
20029,2159,Entrant,France,Politecnico,2022-05-24,2023-02-07,DAAD
20030,1658,Sortant,Belgique,INSA Lyon,2022-03-25,2022-08-15,Interne
20031,1400,Sortant,Canada,ULB,2024-08-19,2025-01-28,Campus France
20032,2098,Sortant,France,Politecnico,2021-10-27,2022-09-18,Campus France
20033,1036,Entrant,Canada,McGill,2023-11-25,2024-04-08,Campus France
20034,1264,Sortant,France,TU Berlin,2023-03-20,2023-10-28,Erasmus+
20035,1808,Sortant,USA,ULB,2023-07-14,2023-12-20,Erasmus+
20036,1317,Entrant,Canada,ULB,2024-04-23,2024-12-19,Interne
20037,1114,Sortant,Italie,Politecnico,2023-03-24,2023-08-22,Interne
20038,2183,Entrant,Italie,INSA Lyon,2024-08-03,2025-05-17,Fulbright
20039,2180,Sortant,Espagne,Politecnico,2022-09-07,2023-06-19,Fulbright
20040,1116,Sortant,USA,ULB,2023-01-29,2023-11-27,DAAD
