id_note,id_etudiant,id_module,annee_universitaire,note,mention,session,resultat,admis_bool
5001,1385,318,2023-2024,7.12,Insuffisant,Rattrapage,Échec,0
5002,1392,313,2022-2023,12.24,Assez Bien,Normale,Admis,1
5003,2060,335,2024-2025,10.77,Passable,Rattrapage,Admis,1
5004,1472,316,2022-2023,13.67,Assez Bien,Normale,Admis,1
5005,1428,331,2022-2023,15.67,Bien,Normale,Admis,1
5006,1210,348,2024-2025,10.5,Passable,Normale,Admis,1
5007,1781,328,2024-2025,7.86,Insuffisant,Normale,Échec,0
5008,1522,347,2020-2021,7.79,Insuffisant,Normale,Échec,0
5009,2040,328,2022-2023,9.27,Insuffisant,Rattrapage,Échec,0
5010,1590,312,2022-2023,14.37,Bien,Rattrapage,Admis,1
5011,1511,347,2024-2025,12.01,Assez Bien,Normale,Admis,1
5012,1362,325,2024-2025,7.27,Insuffisant,Rattrapage,Échec,0
5013,1274,336,2022-2023,5.93,Insuffisant,Normale,Échec,0
5014,1704,302,2023-2024,14.23,Bien,Normale,Admis,1
5015,1551,314,2022-2023,8.33,Insuffisant,Rattrapage,Échec,0
5016,1045,337,2022-2023,13.55,Assez Bien,Normale,Admis,1
5017,1335,349,2024-2025,16.36,Très Bien,Rattrapage,Admis,1
5018,2072,352,2024-2025,10.49,Passable,Normale,Admis,1
5019,1765,339,2022-2023,17.68,Très Bien,Normale,Admis,1
5020,1983,354,2020-2021,8.69,Insuffisant,Normale,Échec,0
5021,1510,337,2023-2024,14.49,Bien,Normale,Admis,1
5022,1865,319,2022-2023,19.15,Très Bien,Normale,Admis,1
5023,1430,321,2024-2025,8.93,Insuffisant,Normale,Échec,0
5024,1197,354,2023-2024,15.3,Bien,Normale,Admis,1
5025,1830,322,2020-2021,8.36,Insuffisant,Normale,Échec,0
5026,1530,330,2020-2021,15.44,Bien,Normale,Admis,1
5027,2126,334,2021-2022,13.13,Assez Bien,Normale,Admis,1
5028,1010,303,2024-2025,16.65,Très Bien,Normale,Admis,1
5029,1697,318,2021-2022,13.34,Assez Bien,Rattrapage,Admis,1
5030,2128,333,2023-2024,9.44,Insuffisant,Normale,Échec,0
5031,1435,360,2022-2023,9.94,Insuffisant,Rattrapage,Échec,0
5032,1584,348,2024-2025,6.86,Insuffisant,Rattrapage,Échec,0
5033,1824,343,2023-2024,13.5,Assez Bien,Normale,Admis,1
5034,2058,328,2023-2024,17.24,Très Bien,Normale,Admis,1
5035,1922,338,2024-2025,15.4,Bien,Normale,Admis,1
5036,2187,317,2023-2024,9.78,Insuffisant,Normale,Échec,0
5037,1034,327,2020-2021,13.66,Assez Bien,Normale,Admis,1
5038,1938,345,2020-2021,17.91,Très Bien,Normale,Admis,1
5039,1888,338,2020-2021,2.1,Insuffisant,Rattrapage,Échec,0
5040,1175,355,2022-2023,9.65,Insuffisant,Normale,Échec,0
5041,1902,359,2020-2021,16.98,Très Bien,Normale,Admis,1
