id_participation,id_etudiant,id_club,annee_universitaire,role
17001,1123,16007,2024-2025,Membre
17002,2088,16011,2024-2025,Membre
17003,2088,16007,2023-2024,Membre
17004,1159,16015,2023-2024,Membre
17005,1159,16007,2020-2021,Membre
17006,1845,16001,2021-2022,Membre
17007,1759,16007,2021-2022,Président
17008,1759,16008,2023-2024,Membre
17009,1410,16006,2022-2023,Membre
17010,1410,16011,2023-2024,Membre
17011,1700,16012,2021-2022,Membre
17012,1700,16002,2024-2025,Membre
17013,2178,16014,2023-2024,Membre
17014,2092,16008,2020-2021,Membre
17015,2092,16002,2023-2024,Membre
17016,1742,16013,2022-2023,Membre
17017,1130,16006,2021-2022,Membre
17018,1748,16010,2021-2022,Membre
17019,1412,16003,2024-2025,Membre
17020,1412,16011,2020-2021,Membre
17021,1318,16011,2024-2025,Vice-Président
17022,1318,16004,2023-2024,Membre
17023,1127,16010,2021-2022,Membre
17024,1127,16011,2023-2024,Membre
17025,1350,16008,2022-2023,Membre
17026,2144,16004,2020-2021,Membre
17027,1468,16009,2023-2024,Membre
17028,1468,16003,2020-2021,Membre
17029,1763,16002,2021-2022,Membre
17030,1763,16014,2024-2025,Membre
17031,1487,16008,2023-2024,Membre
17032,1487,16011,2024-2025,Membre
17033,1558,16005,2020-2021,Membre
17034,1558,16008,2024-2025,Membre
17035,1309,16015,2022-2023,Membre
17036,1309,16004,2024-2025,Membre
17037,1564,16005,2020-2021,Membre
17038,1679,16003,2021-2022,Membre
17039,1019,16005,2023-2024,Président
17040,1019,16012,2021-2022,Membre
17041,1164,16001,2023-2024,Membre
17042,1164,16010,2023-2024,Membre
17043,1654,16012,2021-2022,Membre
17044,1654,16012,2020-2021,Membre
17045,1349,16013,2022-2023,Membre
17046,1349,16008,2022-2023,Membre
17047,2091,16012,2022-2023,Vice-Président
17048,1030,16012,2020-2021,Membre
17049,1030,16004,2023-2024,Vice-Président
17050,1109,16001,2020-2021,Membre
17051,1109,16015,2023-2024,Membre
17052,1854,16006,2022-2023,Membre
17053,1539,16012,2020-2021,Membre
17054,1539,16005,2023-2024,Président
17055,2080,16011,2020-2021,Membre
17056,2080,16015,2021-2022,Membre
17057,1838,16008,2021-2022,Membre
17058,1251,16012,2021-2022,Membre
17059,1251,16006,2023-2024,Vice-Président
17060,1643,16014,2024-2025,Membre
17061,1643,16006,2023-2024,Membre
17062,1916,16003,2024-2025,Vice-Président
17063,1916,16007,2022-2023,Membre
17064,1936,16013,2024-2025,Membre
17065,1434,16010,2022-2023,Membre
17066,1379,16008,2020-2021,Membre
17067,1379,16008,2023-2024,Président
17068,1550,16015,2020-2021,Membre
17069,1550,16007,2024-2025,Président
17070,1826,16008,2022-2023,Membre
17071,1826,16012,2022-2023,Membre
17072,1820,16002,2022-2023,Membre
17073,1820,16014,2020-2021,Membre
17074,1545,16001,2020-2021,Président
17075,1545,16009,2020-2021,Membre
17076,2185,16005,2021-2022,Président
17077,2185,16006,2024-2025,Membre
17078,2072,16014,2022-2023,Vice-Président
17079,1888,16001,2020-2021,Membre
17080,2188,16011,2023-2024,Vice-Président
17081,2188,16001,2023-2024,Membre
17082,2082,16001,2021-2022,Membre
17083,2082,16015,2022-2023,Président
17084,1844,16004,2020-2021,Membre
17085,1844,16001,2023-2024,Membre
17086,2043,16005,2020-2021,Membre
17087,1023,16003,2023-2024,Membre
17088,1023,16005,2021-2022,Membre
17089,1212,16003,2024-2025,Membre
17090,2160,16004,2021-2022,Membre
17091,1863,16010,2022-2023,Vice-Président
17092,1773,16013,2024-2025,Membre
17093,1395,16002,2024-2025,Vice-Président
17094,1111,16009,2023-2024,Membre
17095,1070,16013,2021-2022,Membre
17096,1070,16008,2022-2023,Membre
17097,1656,16015,2021-2022,Membre
