id_presence,id_etudiant,id_seance,present,justifiee
6001,1730,8851,Oui,Non
6002,1895,8127,Oui,Non
6003,1873,8186,Oui,Non
6004,1947,8960,Oui,Non
6005,1146,8990,Oui,Non
6006,2071,7188,Oui,Non
6007,1415,8660,Non,Oui
6008,1494,7748,Oui,Non
6009,1385,8177,Oui,Non
6010,1474,7035,Non,Non
6011,1759,7559,Oui,Non
6012,2194,8436,Oui,Non
6013,1168,8784,Oui,Non
6014,1115,8836,Non,Oui
6015,1608,7386,Oui,Non
6016,1222,8447,Oui,Non
6017,1066,7303,Oui,Non
6018,1811,8400,Oui,Non
6019,2083,8606,Oui,Non
6020,1678,8514,Oui,Non
6021,1051,7293,Oui,Non
6022,1624,7141,Oui,Non
6023,1133,7662,Non,Non
6024,2115,8034,Oui,Non
6025,1648,7202,Oui,Non
6026,1454,7390,Oui,Non
6027,1748,8482,Oui,Non
6028,1854,7416,Oui,Non
6029,1014,7647,Oui,Non
6030,1755,8434,Oui,Non
6031,1954,8435,Oui,Non
6032,2107,8843,Non,Oui
6033,1831,8580,Oui,Non
6034,1920,7068,Non,Oui
6035,1301,7197,Oui,Non
6036,1022,8697,Oui,Non
6037,1126,7228,Non,Oui
6038,1348,8131,Non,Oui
6039,1459,8767,Non,Non
6040,2158,8526,Oui,Non
6041,1920,8315,Oui,Non
6042,1780,8084,Non,Non
6043,1776,8240,Oui,Non
6044,1076,7727,Oui,Non
6045,2011,8950,Oui,Non
6046,2153,7490,Oui,Non
6047,1142,7118,Oui,Non
6048,1744,8828,Oui,Non
6049,1776,8243,Non,Oui
6050,1388,7507,Oui,Non
6051,1151,8000,Oui,Non
6052,1770,7589,Oui,Non
6053,1058,8064,Oui,Non
6054,1528,8481,Oui,Non
6055,1790,7718,Oui,Non
6056,1607,8901,Oui,Non
6057,1306,8516,Non,Oui
6058,1415,8908,Oui,Non
6059,2019,8746,Non,Oui
6060,1756,7014,Non,Oui
6061,1803,7369,Oui,Non
6062,1657,7872,Non,Oui
6063,1374,7922,Oui,Non
6064,1328,7842,Oui,Non
6065,1264,8910,Oui,Non
6066,1133,7249,Non,Non
6067,2050,8763,Oui,Non
6068,1055,8242,Non,Non
6069,1893,8718,Non,Non
6070,1140,8208,Oui,Non
6071,2171,7008,Oui,Non
6072,1958,7101,Non,Oui
6073,1403,7279,Oui,Non
6074,1832,8366,Oui,Non
6075,1050,7706,Oui,Non
6076,2073,7946,Non,Non
6077,2006,8744,Oui,Non
6078,1102,7174,Oui,Non
6079,1951,7275,Oui,Non
6080,2038,7266,Oui,Non
6081,2154,7688,Non,Oui
6082,1822,7627,Oui,Non
6083,2006,7921,Oui,Non
6084,1652,8970,Oui,Non
6085,1800,8425,Oui,Non
6086,1230,8215,Oui,Non
6087,1726,8773,Non,Oui
6088,1420,7755,Non,Non
6089,2166,8913,Oui,Non
6090,1942,8633,Oui,Non
6091,2087,8603,Oui,Non
6092,1358,7721,Oui,Non
6093,2016,7731,Oui,Non
6094,1957,8530,Oui,Non
6095,2076,7853,Oui,Non
6096,1388,7744,Oui,Non
6097,2129,7268,Oui,Non
6098,2004,8489,Oui,Non
6099,2044,7921,Oui,Non
6100,1924,8244,Non,Oui
6101,1683,8341,Oui,Non
6102,1443,8100,Oui,Non
6103,1792,8238,Oui,Non
6104,1962,8540,Oui,Non
6105,1719,7297,Oui,Non
6106,1165,8253,Oui,Non
6107,1779,8827,Oui,Non
6108,2184,7253,Oui,Non
6109,2006,7230,Oui,Non
6110,2165,7861,Oui,Non
6111,1432,7757,Non,Non
6112,1077,7436,Oui,Non
6113,1503,8567,Oui,Non
6114,2141,7444,Oui,Non
6115,1806,8087,Oui,Non
6116,1978,7766,Oui,Non
6117,1675,8727,Oui,Non
6118,1868,8413,Oui,Non
6119,1279,8226,Oui,Non
6120,2125,8959,Oui,Non
6121,1984,8033,Oui,Non
6122,1382,8144,Oui,Non
6123,1404,7595,Oui,Non
6124,1251,7926,Oui,Non
6125,1339,8640,Oui,Non
6126,2186,7453,Oui,Non
6127,1943,8046,Oui,Non
6128,1017,8625,Oui,Non
6129,1568,8405,Oui,Non
6130,1900,7765,Oui,Non
6131,1114,7648,Non,Non
6132,1988,8419,Oui,Non
6133,1989,8600,Oui,Non
6134,1616,7418,Non,Oui
6135,1258,8371,Oui,Non
6136,1619,8313,Oui,Non
6137,1717,7508,Oui,Non
6138,1157,7141,Oui,Non
6139,2014,7721,Oui,Non
6140,1289,8844,Oui,Non
6141,1557,8056,Non,Oui
6142,1386,7780,Oui,Non
6143,1765,7924,Oui,Non
6144,1856,7382,Oui,Non
6145,1409,8181,Non,Oui
6146,2098,7774,Oui,Non
6147,1010,8652,Non,Non
6148,1646,7665,Oui,Non
6149,2173,8555,Oui,Non
6150,2187,8318,Oui,Non
6151,1218,7124,Non,Oui
6152,1139,7033,Oui,Non
6153,1997,8597,Oui,Non
6154,1971,7534,Oui,Non
6155,1715,7571,Oui,Non
6156,1003,7219,Non,Oui
6157,2035,8118,Non,Non
6158,1233,7439,Non,Non
6159,1503,7758,Non,Non
6160,1658,7431,Oui,Non
6161,2030,8819,Oui,Non
6162,1207,7183,Oui,Non
6163,2023,7077,Oui,Non
6164,1757,7811,Non,Oui
6165,1190,8784,Oui,Non
6166,1331,7788,Non,Oui
6167,1685,8861,Oui,Non
6168,1853,7334,Oui,Non
6169,1365,8970,Oui,Non
6170,1473,7700,Oui,Non
6171,1798,8276,Oui,Non
6172,1348,7296,Oui,Non
6173,2167,7583,Oui,Non
6174,1171,8538,Oui,Non
6175,1605,7470,Oui,Non
6176,1785,8870,Oui,Non
6177,1698,8707,Oui,Non
6178,1102,8477,Non,Oui
6179,1855,7104,Oui,Non
6180,1512,8898,Oui,Non
6181,1158,7106,Oui,Non
6182,1733,7222,Oui,Non
6183,1691,7274,Oui,Non
6184,1175,8516,Oui,Non
6185,1350,7339,Oui,Non
6186,1219,7999,Oui,Non
6187,1138,7785,Oui,Non
6188,1692,7894,Oui,Non
6189,1176,8083,Oui,Non
6190,1688,7553,Oui,Non
6191,1448,8381,Oui,Non
6192,1803,7737,Oui,Non
6193,1026,7288,Oui,Non
6194,1138,7674,Oui,Non
6195,1655,8131,Non,Non
6196,1203,8366,Oui,Non
6197,1970,8124,Oui,Non
6198,1122,8442,Oui,Non
6199,1623,8214,Oui,Non
6200,1176,8668,Oui,Non
6201,1238,8318,Oui,Non
6202,1580,7328,Oui,Non
6203,1554,8032,Oui,Non
6204,1226,7583,Oui,Non
6205,1173,7444,Oui,Non
6206,1813,8846,Non,Non
6207,1389,8189,Oui,Non
6208,1345,7845,Oui,Non
6209,1012,8856,Oui,Non
6210,1333,8681,Oui,Non
6211,1222,7923,Oui,Non
6212,1088,7312,Oui,Non
6213,2037,8325,Oui,Non
6214,1630,7893,Oui,Non
6215,2031,8052,Oui,Non
6216,1746,8279,Non,Oui
6217,1152,8416,Oui,Non
6218,1949,7383,Oui,Non
6219,1507,8356,Non,Non
6220,1670,8945,Oui,Non
6221,1209,8871,Oui,Non
6222,1560,8422,Oui,Non
6223,1254,8862,Oui,Non
6224,1307,8474,Non,Oui
6225,1053,8828,Oui,Non
6226,1391,7127,Oui,Non
6227,1282,7446,Oui,Non
6228,1825,8698,Oui,Non
6229,1483,7594,Non,Non
6230,1514,8914,Oui,Non
6231,1026,8490,Oui,Non
6232,1516,7809,Oui,Non
6233,1805,7977,Oui,Non
6234,1324,7021,Non,Non
6235,1519,7326,Non,Oui
6236,1869,7904,Oui,Non
6237,1918,7971,Oui,Non
6238,1637,8583,Oui,Non
6239,1406,8335,Oui,Non
6240,2097,8011,Non,Non
6241,1874,8451,Oui,Non
6242,1963,7620,Oui,Non
6243,2105,8436,Oui,Non
6244,1997,8768,Non,Non
6245,1082,7920,Oui,Non
6246,1366,8626,Oui,Non
6247,1107,7042,Oui,Non
6248,1448,8432,Oui,Non
6249,1759,8750,Oui,Non
6250,2010,8980,Oui,Non
6251,1947,8648,Non,Oui
6252,1375,7886,Non,Oui
6253,1133,7895,Oui,Non
6254,2090,8214,Oui,Non
6255,1365,7995,Oui,Non
6256,1480,8190,Non,Oui
6257,1380,7450,Oui,Non
6258,1212,8649,Oui,Non
6259,2048,8181,Oui,Non
6260,1781,8328,Oui,Non
6261,1341,8592,Oui,Non
6262,1874,8057,Non,Non
6263,1082,7562,Oui,Non
6264,1476,7722,Oui,Non
6265,1474,7162,Non,Oui
6266,1753,8186,Oui,Non
6267,1166,8486,Oui,Non
6268,2185,8215,Oui,Non
6269,1166,8333,Oui,Non
6270,1511,7640,Oui,Non
6271,1117,7709,Oui,Non
6272,1962,8751,Oui,Non
6273,1982,7768,Non,Oui
6274,2144,8130,Oui,Non
6275,2160,7579,Non,Non
6276,1819,7406,Oui,Non
6277,1935,7774,Oui,Non
6278,1850,7257,Oui,Non
6279,1487,8120,Oui,Non
6280,2186,7735,Non,Non
6281,1527,8132,Oui,Non
6282,1736,7570,Oui,Non
6283,1334,8844,Oui,Non
6284,1682,7690,Oui,Non
6285,1387,8450,Oui,Non
6286,1671,8255,Oui,Non
6287,1603,7198,Oui,Non
6288,1427,8351,Oui,Non
6289,1225,8886,Oui,Non
6290,1204,7054,Oui,Non
6291,2020,7633,Oui,Non
6292,1472,8763,Oui,Non
6293,1824,8549,Non,Oui
6294,1021,8931,Oui,Non
6295,1516,7133,Non,Non
6296,2018,8809,Oui,Non
6297,1486,7535,Non,Oui
6298,1998,8728,Oui,Non
6299,1955,8779,Oui,Non
6300,1407,8810,Non,Oui
6301,1444,8298,Non,Non
6302,2057,7165,Non,Oui
6303,2078,8672,Oui,Non
6304,2168,8537,Oui,Non
6305,1630,8382,Oui,Non
6306,1656,8797,Oui,Non
6307,1246,7145,Oui,Non
6308,1650,8942,Non,Oui
6309,1501,8552,Oui,Non
6310,1446,7145,Non,Non
6311,1422,7489,Oui,Non
6312,1034,8096,Non,Oui
6313,1332,8995,Oui,Non
6314,1885,8500,Oui,Non
6315,2191,8820,Oui,Non
6316,1054,7055,Oui,Non
6317,2091,7196,Oui,Non
6318,1039,7499,Oui,Non
6319,1610,8121,Oui,Non
6320,1077,8880,Non,Non
6321,1139,8026,Oui,Non
6322,1156,8447,Oui,Non
6323,2115,7179,Oui,Non
6324,1276,8061,Oui,Non
6325,1866,7129,Oui,Non
6326,2127,7964,Oui,Non
6327,1393,7377,Oui,Non
6328,1577,8164,Oui,Non
6329,1980,8766,Oui,Non
6330,1263,8972,Non,Oui
6331,1385,8320,Oui,Non
6332,2015,7524,Oui,Non
6333,1420,7629,Oui,Non
6334,1214,7089,Oui,Non
6335,1136,8784,Oui,Non
6336,1043,7603,Oui,Non
6337,1025,8289,Non,Oui
6338,1409,7250,Oui,Non
6339,1751,7684,Oui,Non
6340,1622,7273,Non,Oui
6341,1968,8557,Oui,Non
6342,1262,8391,Non,Oui
6343,1732,7867,Oui,Non
6344,1951,7268,Oui,Non
6345,2002,7774,Oui,Non
6346,1158,8456,Oui,Non
6347,2146,8928,Oui,Non
6348,2018,8465,Oui,Non
6349,1930,8006,Oui,Non
6350,1897,8880,Oui,Non
6351,1131,7446,Oui,Non
6352,1952,8345,Oui,Non
6353,1437,8243,Oui,Non
6354,2092,8989,Oui,Non
6355,1935,8318,Oui,Non
6356,1330,7086,Oui,Non
6357,1976,7461,Oui,Non
6358,1740,7240,Oui,Non
6359,1654,7700,Oui,Non
6360,1840,8904,Oui,Non
6361,1174,8322,Oui,Non
6362,1935,8697,Oui,Non
6363,1575,7233,Oui,Non
6364,1063,8022,Oui,Non
6365,1825,8596,Non,Non
6366,1083,7508,Oui,Non
6367,1220,7713,Oui,Non
6368,2045,7679,Non,Non
6369,2165,7218,Oui,Non
6370,2105,8306,Oui,Non
6371,1802,8476,Oui,Non
6372,1741,8845,Oui,Non
6373,1627,8231,Oui,Non
6374,1483,8196,Oui,Non
6375,1167,8381,Oui,Non
6376,1516,7064,Oui,Non
6377,1644,8736,Non,Oui
6378,1935,7018,Oui,Non
6379,1112,8514,Oui,Non
6380,1153,8573,Oui,Non
6381,1940,8145,Oui,Non
6382,1381,7113,Oui,Non
6383,1710,7736,Oui,Non
6384,1714,8473,Oui,Non
6385,1449,8380,Oui,Non
6386,1579,8919,Oui,Non
6387,1074,7922,Oui,Non
6388,2058,8451,Oui,Non
6389,1847,7934,Oui,Non
6390,2031,8792,Oui,Non
6391,1338,8320,Oui,Non
6392,1278,8997,Oui,Non
6393,1065,8517,Non,Oui
6394,1287,8391,Oui,Non
6395,1568,7045,Oui,Non
6396,1636,8013,Oui,Non
6397,1140,7256,Oui,Non
6398,1605,7825,Oui,Non
6399,1909,7752,Oui,Non
6400,2101,8419,Oui,Non
6401,1573,7195,Oui,Non
6402,1637,8131,Non,Oui
6403,1991,7168,Oui,Non
6404,1527,8948,Oui,Non
6405,1888,7259,Oui,Non
6406,1616,8687,Oui,Non
6407,1530,8153,Non,Oui
6408,1963,7169,Oui,Non
6409,1033,7241,Oui,Non
6410,1955,8595,Oui,Non
6411,1497,7322,Oui,Non
6412,1097,8420,Oui,Non
6413,1602,7460,Oui,Non
6414,1060,7950,Oui,Non
6415,1631,8721,Oui,Non
6416,1867,8583,Oui,Non
6417,1989,8347,Oui,Non
6418,1123,8546,Non,Non
6419,1117,7535,Oui,Non
6420,1467,8052,Oui,Non
6421,1906,8279,Non,Non
6422,2025,8912,Oui,Non
6423,1293,7535,Oui,Non
6424,2175,7330,Oui,Non
6425,1046,7579,Oui,Non
6426,1393,7122,Non,Oui
6427,1873,8573,Oui,Non
6428,1507,7172,Non,Oui
6429,1777,8671,Non,Non
6430,2045,8613,Oui,Non
6431,1950,7753,Oui,Non
6432,1973,7117,Oui,Non
6433,1556,7496,Oui,Non
6434,1406,8493,Non,Oui
6435,1781,8651,Non,Oui
6436,1607,7059,Oui,Non
6437,1678,7431,Non,Non
6438,1646,7188,Oui,Non
6439,1421,7253,Non,Non
6440,1690,7529,Oui,Non
6441,1137,7233,Oui,Non
6442,1056,8311,Oui,Non
6443,1777,7024,Oui,Non
6444,1508,8510,Oui,Non
6445,2195,7418,Oui,Non
6446,1068,7739,Oui,Non
6447,1634,7543,Non,Oui
6448,1869,8606,Oui,Non
6449,1501,8533,Non,Non
6450,1410,8148,Oui,Non
6451,1279,7648,Oui,Non
6452,1246,7254,Oui,Non
6453,1641,8369,Non,Oui
6454,2170,8466,Oui,Non
6455,1554,8505,Oui,Non
6456,1175,8094,Oui,Non
6457,1675,7645,Oui,Non
6458,1649,8097,Oui,Non
6459,1261,8475,Non,Oui
6460,1756,7123,Oui,Non
6461,1553,8744,Oui,Non
6462,1637,8982,Oui,Non
6463,1393,7274,Oui,Non
6464,2137,7759,Oui,Non
6465,1713,8047,Oui,Non
6466,1423,8944,Oui,Non
6467,1683,8794,Oui,Non
6468,2041,8061,Oui,Non
6469,1058,8897,Oui,Non
6470,2019,8467,Non,Oui
6471,1181,8200,Oui,Non
6472,1924,8656,Oui,Non
6473,1531,8615,Oui,Non
6474,1604,8868,Oui,Non
6475,1371,7575,Oui,Non
6476,1970,8009,Oui,Non
6477,1519,7585,Oui,Non
6478,1561,8159,Oui,Non
6479,1503,7070,Oui,Non
6480,1579,8653,Oui,Non
6481,1891,7018,Oui,Non
6482,2090,8790,Oui,Non
6483,1278,7800,Oui,Non
6484,1890,7258,Oui,Non
6485,1746,8652,Non,Non
6486,1426,8018,Oui,Non
6487,1467,8609,Oui,Non
6488,1721,8850,Non,Non
6489,1595,8338,Oui,Non
6490,1207,7287,Non,Oui
6491,1521,7050,Oui,Non
6492,1739,7519,Oui,Non
6493,1406,8236,Non,Oui
6494,1190,8548,Oui,Non
6495,2175,8708,Oui,Non
6496,1456,7290,Non,Non
6497,1960,7064,Non,Non
6498,1294,7814,Oui,Non
6499,1214,8448,Non,Oui
6500,1413,7255,Oui,Non
6501,1117,7446,Oui,Non
6502,1121,8330,Oui,Non
6503,2198,7609,Non,Non
6504,2042,8914,Oui,Non
6505,1548,8921,Oui,Non
6506,2141,8174,Oui,Non
6507,1498,7876,Oui,Non
6508,2023,8212,Oui,Non
6509,1538,7689,Non,Non
6510,1726,8457,Non,Oui
6511,1935,8502,Oui,Non
6512,1238,7355,Oui,Non
6513,1396,8487,Oui,Non
6514,1590,8395,Oui,Non
6515,1295,7900,Oui,Non
6516,2084,7469,Oui,Non
6517,1298,8909,Oui,Non
6518,1049,7331,Oui,Non
6519,1428,7808,Oui,Non
6520,1975,7794,Non,Non
6521,1837,8881,Oui,Non
6522,1567,7083,Non,Non
6523,1798,7689,Oui,Non
6524,1204,7166,Oui,Non
6525,1774,7474,Oui,Non
6526,1252,8976,Oui,Non
6527,1014,8921,Oui,Non
6528,1269,8090,Oui,Non
6529,1332,7078,Oui,Non
6530,1598,8391,Oui,Non
6531,1731,7348,Oui,Non
6532,2078,8471,Oui,Non
6533,1861,8005,Non,Oui
6534,1559,7374,Oui,Non
6535,1431,7652,Oui,Non
6536,1445,8866,Oui,Non
6537,1936,7397,Oui,Non
6538,1273,8466,Oui,Non
6539,1443,8246,Oui,Non
6540,2185,7384,Oui,Non
6541,1706,7246,Oui,Non
6542,1283,7777,Oui,Non
6543,1904,8550,Oui,Non
6544,1528,7397,Oui,Non
6545,2069,7790,Non,Non
6546,1784,8990,Non,Non
6547,1704,7444,Oui,Non
6548,1731,7976,Non,Oui
6549,1054,7730,Oui,Non
6550,2148,8163,Oui,Non
6551,1135,8139,Oui,Non
6552,1063,8363,Oui,Non
6553,1106,7976,Non,Non
6554,1478,7957,Oui,Non
6555,1467,7216,Oui,Non
6556,1395,8821,Non,Non
6557,1638,8060,Non,Non
6558,1328,8402,Oui,Non
6559,1765,8243,Oui,Non
6560,1055,8077,Oui,Non
6561,2115,8467,Oui,Non
6562,1121,7967,Oui,Non
6563,1057,8149,Oui,Non
6564,1979,7175,Oui,Non
6565,1249,8070,Non,Non
6566,1572,7712,Oui,Non
6567,1663,8168,Oui,Non
6568,1078,7270,Oui,Non
6569,1155,8665,Oui,Non
6570,2057,8478,Oui,Non
6571,1719,7236,Oui,Non
6572,1913,8618,Oui,Non
6573,1405,7343,Oui,Non
6574,2129,8077,Oui,Non
6575,1889,8769,Oui,Non
6576,1580,8923,Oui,Non
6577,1689,7025,Oui,Non
6578,1573,7250,Oui,Non
6579,1097,7909,Non,Non
6580,2119,7867,Oui,Non
6581,1716,8057,Oui,Non
6582,1993,7665,Oui,Non
6583,2109,7693,Oui,Non
6584,1694,8178,Non,Oui
6585,1622,7687,Oui,Non
6586,1897,7361,Oui,Non
6587,1597,8387,Non,Oui
6588,1913,7365,Oui,Non
6589,1695,7214,Oui,Non
6590,1256,7590,Oui,Non
6591,1276,7081,Oui,Non
6592,1463,8334,Oui,Non
6593,1664,8871,Oui,Non
6594,1531,8857,Oui,Non
6595,1218,7998,Oui,Non
6596,1397,8903,Non,Oui
6597,1413,8758,Oui,Non
6598,1587,7219,Oui,Non
6599,1774,7920,Oui,Non
6600,1069,7905,Oui,Non
6601,2147,8377,Oui,Non
6602,2047,8507,Non,Oui
6603,1738,8092,Non,Non
6604,1555,8271,Oui,Non
6605,1177,7112,Oui,Non
6606,1895,7938,Oui,Non
6607,1879,7594,Oui,Non
6608,1484,8338,Non,Non
6609,2102,8252,Oui,Non
6610,1969,7108,Non,Oui
6611,1328,7571,Oui,Non
6612,1225,7884,Oui,Non
6613,1730,8385,Oui,Non
6614,2069,7302,Oui,Non
6615,1506,8918,Non,Oui
6616,1030,7554,Oui,Non
6617,1600,7081,Oui,Non
6618,1412,7797,Oui,Non
6619,2043,8717,Oui,Non
6620,1807,8611,Oui,Non
6621,1885,8844,Oui,Non
6622,1286,8551,Oui,Non
6623,1452,8369,Oui,Non
6624,1962,8952,Non,Non
6625,1702,8590,Oui,Non
6626,1289,7746,Oui,Non
6627,1991,7379,Oui,Non
6628,1511,7010,Non,Oui
6629,1700,7938,Oui,Non
6630,2180,7715,Oui,Non
6631,1236,7753,Oui,Non
6632,1625,7372,Oui,Non
6633,1796,7780,Oui,Non
6634,2189,8106,Oui,Non
6635,1002,8793,Oui,Non
6636,2102,7436,Non,Non
6637,1095,8430,Oui,Non
6638,1551,7150,Non,Oui
6639,1831,7693,Non,Non
6640,1257,8205,Oui,Non
6641,1889,8500,Oui,Non
6642,1909,8774,Non,Oui
6643,1904,8672,Oui,Non
6644,1090,7873,Non,Non
6645,2022,7558,Oui,Non
6646,1570,8613,Non,Oui
6647,1912,7065,Oui,Non
6648,1163,8495,Non,Non
6649,1633,8827,Non,Oui
6650,2147,7897,Non,Oui
6651,1782,7489,Oui,Non
6652,1939,7895,Oui,Non
6653,1163,8857,Oui,Non
6654,1979,8450,Oui,Non
6655,1617,8705,Oui,Non
6656,1666,7523,Oui,Non
6657,1896,7879,Non,Non
6658,1306,7595,Oui,Non
6659,2023,7630,Oui,Non
6660,1349,8002,Oui,Non
6661,1479,8286,Oui,Non
6662,1223,8487,Oui,Non
6663,2031,8026,Oui,Non
6664,1857,7425,Oui,Non
6665,2172,7353,Oui,Non
6666,1330,7280,Oui,Non
6667,1449,8181,Oui,Non
6668,2074,8838,Non,Non
6669,1252,7644,Non,Non
6670,1049,7030,Oui,Non
6671,1252,7434,Oui,Non
6672,1014,7593,Non,Oui
6673,2048,7530,Oui,Non
6674,1929,8892,Non,Oui
6675,1146,7745,Oui,Non
6676,1227,8504,Non,Non
6677,1778,7800,Non,Non
6678,1647,7856,Oui,Non
6679,1473,8182,Oui,Non
6680,1203,7824,Oui,Non
6681,1636,7759,Oui,Non
6682,1821,8007,Oui,Non
6683,1922,8540,Non,Non
6684,1971,8474,Non,Non
6685,1821,8764,Oui,Non
6686,1808,7096,Oui,Non
6687,1258,7018,Oui,Non
6688,1701,8741,Oui,Non
6689,1893,7637,Oui,Non
6690,1657,8898,Oui,Non
6691,2006,7745,Oui,Non
6692,2174,8277,Oui,Non
6693,2014,8084,Oui,Non
6694,2144,8027,Oui,Non
6695,1295,7959,Oui,Non
