id_salle,nom_salle,capacite,type,batiment
501,Amphi A,120,Amphi,Bâtiment 1
502,Amphi B,120,Amphi,Bâtiment 1
503,Amphi C,120,Amphi,Bâtiment 1
504,Amphi D,120,Amphi,Bâtiment 1
505,Amphi E,120,Amphi,Bâtiment 1
506,TD 1,35,TD,Bâtiment 1
507,TD 2,35,TD,Bâtiment 1
508,TD 3,35,TD,Bâtiment 1
509,TD 4,35,TD,Bâtiment 2
510,TD 5,35,TD,Bâtiment 2
511,TD 6,35,TD,Bâtiment 2
512,TD 7,35,TD,Bâtiment 2
513,TD 8,35,TD,Bâtiment 2
514,TD 9,35,TD,Bâtiment 2
515,TD 10,35,TD,Bâtiment 2
516,TD 11,35,TD,Bâtiment 2
517,TD 12,35,TD,Bâtiment 3
518,TD 13,35,TD,Bâtiment 3
519,TD 14,35,TD,Bâtiment 3
520,TD 15,35,TD,Bâtiment 3
521,Labo 1,25,Labo,Bâtiment 3
522,Labo 2,25,Labo,Bâtiment 3
523,Labo 3,25,Labo,Bâtiment 3
524,Labo 4,25,Labo,Bâtiment 3
525,Labo 5,25,Labo,Bâtiment 4
526,Labo 6,25,Labo,Bâtiment 4
527,Labo 7,25,Labo,Bâtiment 4
528,Labo 8,25,Labo,Bâtiment 4
529,Labo 9,25,Labo,Bâtiment 4
530,Labo 10,25,Labo,Bâtiment 4
531,Labo 11,25,Labo,Bâtiment 4
532,Labo 12,25,Labo,Bâtiment 4
533,Labo 13,25,Labo,Bâtiment 5
534,Labo 14,25,Labo,Bâtiment 5
535,Labo 15,25,Labo,Bâtiment 5
536,Labo 16,25,Labo,Bâtiment 5
537,Labo 17,25,Labo,Bâtiment 5
538,Labo 18,25,Labo,Bâtiment 5
539,Labo 19,25,Labo,Bâtiment 5
540,Labo 20,25,Labo,Bâtiment 5
