id_enquete,id_etudiant,id_professeur,id_module,annee_universitaire,score_clarte,poids_clarte,score_disponibilite,poids_disponibilite,score_pedagogie,poids_pedagogie,score_equite,poids_equite,score_admin,score_vie_etudiante,score_charge,score_finances,score_global,nps,sum_poids,score_prof_pondere
9001,1167,401,312,2023-2024,3,0.3,2,0.2,3,0.3,1,0.2,3,3,4,4,2.4,4,1,2.4
9002,1743,459,357,2021-2022,4,0.3,3,0.2,4,0.3,4,0.2,2,5,4,4,3.8,4,1,3.8
9003,1888,467,321,2024-2025,1,0.3,1,0.2,3,0.3,1,0.2,1,2,2,2,1.6,0,1,1.6
9004,1241,440,345,2023-2024,5,0.3,3,0.2,4,0.3,2,0.2,1,4,1,4,3.7,5,1,3.7
9005,1660,427,350,2022-2023,2,0.3,4,0.2,2,0.3,1,0.2,2,5,5,1,2.2,7,1,2.2
9006,2186,426,304,2024-2025,5,0.3,1,0.2,4,0.3,2,0.2,4,1,3,1,3.3,7,1,3.3
9007,1250,451,339,2020-2021,1,0.3,1,0.2,4,0.3,4,0.2,2,4,4,1,2.5,5,1,2.5
9008,1245,459,343,2024-2025,5,0.3,1,0.2,3,0.3,1,0.2,4,4,5,4,2.8,10,1,2.8
9009,1584,453,329,2020-2021,2,0.3,1,0.2,5,0.3,5,0.2,5,5,4,1,3.3,8,1,3.3
9010,1142,420,310,2024-2025,4,0.3,3,0.2,5,0.3,4,0.2,5,2,1,5,4.1,10,1,4.1
9011,1961,458,355,2024-2025,4,0.3,5,0.2,5,0.3,3,0.2,5,5,5,2,4.3,4,1,4.300000000000001
9012,1826,468,348,2023-2024,2,0.3,4,0.2,3,0.3,5,0.2,5,4,2,4,3.3,4,1,3.3
9013,1074,473,346,2023-2024,5,0.3,2,0.2,2,0.3,1,0.2,1,3,3,4,2.7,5,1,2.7
9014,1399,428,325,2023-2024,5,0.3,3,0.2,1,0.3,1,0.2,2,1,1,3,2.6,6,1,2.6
9015,1037,469,311,2024-2025,4,0.3,5,0.2,1,0.3,3,0.2,2,3,4,3,3.1,9,1,3.1
9016,1861,442,304,2024-2025,1,0.3,2,0.2,4,0.3,1,0.2,3,2,2,1,2.1,5,1,2.1
9017,2104,411,351,2021-2022,5,0.3,4,0.2,2,0.3,4,0.2,1,5,1,3,3.7,1,1,3.7
9018,2189,403,302,2022-2023,5,0.3,1,0.2,2,0.3,4,0.2,4,5,1,3,3.1,6,1,3.1
9019,1123,445,344,2024-2025,3,0.3,3,0.2,5,0.3,3,0.2,1,3,1,5,3.6,3,1,3.6
9020,2147,473,357,2020-2021,5,0.3,3,0.2,2,0.3,4,0.2,1,5,2,4,3.5,8,1,3.5
9021,2026,455,344,2020-2021,5,0.3,1,0.2,1,0.3,5,0.2,4,5,1,3,3.0,4,1,3.0
9022,1197,414,331,2023-2024,1,0.3,4,0.2,4,0.3,4,0.2,2,5,3,2,3.1,0,1,3.1
9023,1062,444,348,2024-2025,4,0.3,4,0.2,1,0.3,5,0.2,3,5,2,3,3.3,10,1,3.3
9024,1993,476,345,2022-2023,1,0.3,3,0.2,5,0.3,4,0.2,4,2,3,1,3.2,0,1,3.2
9025,1749,409,348,2024-2025,2,0.3,1,0.2,2,0.3,1,0.2,4,1,4,3,1.6,9,1,1.6
9026,1312,440,340,2022-2023,5,0.3,5,0.2,4,0.3,2,0.2,4,4,3,1,4.1,9,1,4.100000000000001
9027,1434,424,324,2020-2021,3,0.3,5,0.2,3,0.3,5,0.2,5,5,1,1,3.8,0,1,3.8
9028,1538,480,354,2021-2022,2,0.3,4,0.2,2,0.3,2,0.2,2,4,4,4,2.4,0,1,2.4
9029,1339,455,333,2021-2022,5,0.3,3,0.2,5,0.3,3,0.2,2,5,3,3,4.2,4,1,4.2
9030,1373,412,316,2024-2025,2,0.3,3,0.2,3,0.3,5,0.2,1,1,1,3,3.1,10,1,3.1
9031,1567,413,344,2022-2023,3,0.3,4,0.2,4,0.3,5,0.2,1,2,5,5,3.9,5,1,3.9
9032,1964,447,301,2024-2025,3,0.3,2,0.2,2,0.3,2,0.2,2,5,4,2,2.3,1,1,2.3
9033,1307,429,310,2022-2023,4,0.3,3,0.2,2,0.3,3,0.2,2,3,2,1,3.0,3,1,3.0
9034,1886,442,328,2021-2022,5,0.3,3,0.2,4,0.3,5,0.2,5,1,4,2,4.3,3,1,4.3
9035,1531,442,350,2022-2023,3,0.3,1,0.2,1,0.3,4,0.2,5,1,3,5,2.2,2,1,2.2
9036,2109,421,334,2023-2024,5,0.3,3,0.2,1,0.3,4,0.2,2,3,3,5,3.2,7,1,3.2
9037,1048,455,357,2021-2022,2,0.3,5,0.2,2,0.3,4,0.2,3,5,4,2,3.0,6,1,3.0
9038,1722,469,309,2021-2022,1,0.3,5,0.2,1,0.3,3,0.2,4,2,2,1,2.2,6,1,2.2
9039,1173,448,313,2021-2022,4,0.3,3,0.2,1,0.3,1,0.2,4,1,2,3,2.3,1,1,2.3
9040,1778,470,333,2023-2024,3,0.3,4,0.2,4,0.3,3,0.2,2,4,1,2,3.5,7,1,3.5
9041,1017,468,302,2022-2023,5,0.3,5,0.2,5,0.3,4,0.2,2,5,2,5,4.8,9,1,4.8
9042,1457,479,325,2022-2023,5,0.3,1,0.2,2,0.3,2,0.2,4,3,2,4,2.7,6,1,2.7
9043,1325,442,360,2023-2024,3,0.3,3,0.2,3,0.3,1,0.2,2,2,2,1,2.6,8,1,2.6
9044,1551,417,338,2024-2025,2,0.3,3,0.2,4,0.3,3,0.2,4,1,2,5,3.0,0,1,3.0
9045,1091,456,337,2024-2025,4,0.3,1,0.2,5,0.3,4,0.2,2,5,5,3,3.7,5,1,3.7
9046,1409,467,347,2021-2022,1,0.3,1,0.2,4,0.3,5,0.2,5,2,1,4,2.7,2,1,2.7
9047,1627,424,332,2024-2025,5,0.3,5,0.2,4,0.3,1,0.2,3,4,1,1,3.9,3,1,3.9
9048,1772,477,322,2023-2024,4,0.3,2,0.2,1,0.3,3,0.2,2,3,1,5,2.5,6,1,2.5
9049,1439,441,311,2024-2025,5,0.3,3,0.2,1,0.3,2,0.2,5,5,5,5,2.8,10,1,2.8
9050,1786,404,334,2020-2021,1,0.3,5,0.2,5,0.3,5,0.2,1,1,4,1,3.8,4,1,3.8
9051,1053,432,350,2023-2024,5,0.3,2,0.2,2,0.3,4,0.2,5,1,5,3,3.3,8,1,3.3
9052,1429,463,309,2020-2021,5,0.3,3,0.2,3,0.3,3,0.2,2,2,4,4,3.6,7,1,3.6
9053,1149,476,305,2024-2025,4,0.3,2,0.2,5,0.3,2,0.2,1,3,2,5,3.5,4,1,3.5
9054,2168,463,322,2023-2024,2,0.3,1,0.2,5,0.3,4,0.2,5,3,2,1,3.1,8,1,3.1
9055,2077,461,318,2023-2024,1,0.3,5,0.2,1,0.3,1,0.2,2,5,1,2,1.8,1,1,1.8
9056,1903,440,325,2020-2021,1,0.3,2,0.2,4,0.3,3,0.2,2,1,2,2,2.5,1,1,2.5
9057,1233,458,351,2020-2021,2,0.3,1,0.2,4,0.3,5,0.2,3,2,2,2,3.0,7,1,3.0
9058,1189,411,335,2022-2023,3,0.3,5,0.2,5,0.3,5,0.2,5,2,1,4,4.4,3,1,4.4
9059,1705,417,356,2023-2024,1,0.3,3,0.2,1,0.3,4,0.2,2,4,1,5,2.0,9,1,2.0
9060,1462,413,360,2020-2021,1,0.3,1,0.2,5,0.3,3,0.2,1,1,4,5,2.6,10,1,2.6
9061,1813,422,310,2021-2022,2,0.3,3,0.2,1,0.3,2,0.2,5,1,1,2,1.9,10,1,1.9
9062,2159,472,357,2020-2021,4,0.3,1,0.2,2,0.3,1,0.2,5,3,1,1,2.2,4,1,2.2
9063,1484,452,303,2023-2024,4,0.3,5,0.2,4,0.3,1,0.2,4,2,4,2,3.6,0,1,3.600000000000001
9064,2130,401,328,2021-2022,3,0.3,3,0.2,1,0.3,5,0.2,3,2,2,2,2.8,5,1,2.8
9065,1863,417,321,2020-2021,1,0.3,1,0.2,4,0.3,2,0.2,1,3,5,3,2.1,6,1,2.1
9066,1744,410,352,2022-2023,1,0.3,4,0.2,2,0.3,1,0.2,1,2,2,2,1.9,0,1,1.9
9067,1113,476,354,2021-2022,5,0.3,4,0.2,4,0.3,2,0.2,3,1,4,3,3.9,1,1,3.9
9068,1850,444,316,2021-2022,2,0.3,3,0.2,5,0.3,4,0.2,5,1,2,4,3.5,3,1,3.5
9069,1411,429,339,2020-2021,5,0.3,3,0.2,4,0.3,3,0.2,5,3,5,1,3.9,0,1,3.9
