id_seance,id_module,id_professeur,id_salle,date_seance,heure_debut,heure_fin,effectuee,retard_minutes,nb_etudiants_presents,duree_minutes,annee_seance
7001,345,446,530,2023-05-12,17:00,12:30,Oui,5,45,270,2023
7002,332,418,538,2023-03-07,10:30,17:00,Oui,0,42,390,2023
7003,322,429,509,2024-12-08,10:30,10:30,Oui,0,67,0,2024
7004,350,441,503,2023-02-05,17:00,19:00,Non,0,78,120,2023
7005,355,414,521,2024-11-06,17:00,17:00,Oui,0,114,0,2024
7006,348,433,536,2022-09-18,10:30,12:30,Oui,0,120,120,2022
7007,347,468,502,2022-10-31,13:00,17:00,Oui,0,29,240,2022
7008,331,443,536,2023-05-20,17:00,10:30,Oui,0,46,390,2023
7009,315,436,525,2024-07-15,15:00,15:00,Oui,5,108,0,2024
7010,347,468,519,2023-05-04,15:00,10:30,Non,0,94,270,2023
7011,331,443,514,2024-11-11,13:00,12:30,Oui,0,22,30,2024
7012,334,479,505,2024-05-30,08:30,19:00,Oui,0,96,630,2024
7013,321,403,537,2024-04-10,13:00,12:30,Oui,0,44,30,2024
7014,344,427,526,2025-05-05,08:30,19:00,Oui,0,32,630,2025
7015,341,431,527,2023-10-04,10:30,12:30,Oui,0,92,120,2023
7016,314,453,539,2023-06-30,15:00,15:00,Oui,10,57,0,2023
7017,353,429,522,2025-01-04,13:00,10:30,Oui,0,104,150,2025
7018,305,470,519,2023-05-25,15:00,10:30,Oui,0,61,270,2023
7019,318,474,502,2024-07-23,15:00,17:00,Oui,0,70,120,2024
7020,325,431,503,2023-03-16,10:30,17:00,Oui,5,114,390,2023
7021,326,472,502,2022-11-26,08:30,19:00,Non,15,41,630,2022
7022,314,453,524,2024-11-08,17:00,10:30,Oui,0,119,390,2024
7023,348,433,502,2024-10-31,15:00,10:30,Oui,0,56,270,2024
7024,312,449,514,2023-03-24,10:30,15:00,Non,0,58,270,2023
7025,351,416,523,2022-12-16,17:00,19:00,Oui,0,38,120,2022
7026,348,433,528,2023-04-11,15:00,17:00,Oui,0,112,120,2023
7027,304,444,536,2023-06-20,17:00,15:00,Oui,0,52,120,2023
7028,352,451,503,2023-04-26,17:00,10:30,Oui,0,116,390,2023
7029,351,416,534,2025-03-05,13:00,15:00,Oui,0,45,120,2025
