id_signalement,id_etudiant,date_signalement,type,gravite,statut
19001,1926,2022-09-06,Retard chronique,Mineure,En cours
19002,1753,2023-05-11,Fraude,Mineure,Traité
19003,1663,2024-07-20,Retard chronique,Mineure,Traité
19004,1805,2021-09-07,Absence injustifiée,Mineure,Traité
19005,2168,2023-02-22,Retard chronique,Mineure,En cours
19006,1211,2022-05-06,Retard chronique,Mineure,Traité
19007,1002,2024-09-07,Absence injustifiée,Mineure,Traité
19008,1038,2024-05-20,Comportement,Mineure,Traité
19009,1690,2022-07-24,Comportement,Majeure,En cours
19010,1624,2025-04-02,Retard chronique,Mineure,En cours
19011,1242,2025-04-13,Comportement,Mineure,Traité
19012,1086,2024-08-22,Comportement,Mineure,Traité
19013,1669,2022-04-16,Absence injustifiée,Mineure,En cours
19014,1101,2025-03-20,Absence injustifiée,Majeure,Traité
19015,1399,2021-10-01,Retard chronique,Majeure,Traité
19016,1238,2023-08-12,Comportement,Majeure,Traité
19017,1980,2022-03-11,Absence injustifiée,Majeure,Traité
19018,1654,2024-04-06,Retard chronique,Mineure,Traité
19019,1125,2023-01-21,Retard chronique,Majeure,Traité
19020,1215,2022-10-27,Absence injustifiée,Majeure,Traité
19021,1181,2024-12-13,Comportement,Majeure,En cours
19022,1274,2024-03-22,Absence injustifiée,Mineure,Traité
19023,1092,2022-01-04,Fraude,Mineure,Traité
19024,1858,2023-10-30,Retard chronique,Mineure,Traité
19025,1019,2024-02-07,Fraude,Mineure,Traité
19026,1312,2024-10-12,Retard chronique,Mineure,Traité
19027,2073,2024-10-16,Absence injustifiée,Mineure,Traité
19028,1720,2024-12-10,Comportement,Mineure,Traité
19029,1690,2024-01-26,Absence injustifiée,Mineure,En cours
19030,1808,2024-11-15,Comportement,Majeure,Traité
19031,1664,2025-04-23,Absence injustifiée,Majeure,Traité
19032,1677,2022-08-30,Comportement,Mineure,Traité
19033,1370,2024-04-28,Comportement,Majeure,Traité
19034,1121,2025-01-27,Absence injustifiée,Mineure,Traité
19035,1209,2023-10-11,Absence injustifiée,Majeure,En cours
19036,1690,2022-10-09,Retard chronique,Majeure,Traité
19037,1525,2023-03-26,Fraude,Mineure,Traité
19038,1136,2023-10-21,Fraude,Mineure,Traité
19039,1453,2021-10-01,Absence injustifiée,Mineure,Traité
19040,1509,2021-09-14,Absence injustifiée,Majeure,Traité
19041,1631,2023-08-20,Fraude,Mineure,Traité
19042,1089,2024-08-14,Fraude,Mineure,Traité
19043,1416,2023-06-03,Absence injustifiée,Mineure,Traité
19044,1776,2024-07-17,Fraude,Mineure,Traité
19045,1137,2022-02-27,Comportement,Majeure,Traité
19046,1832,2022-10-11,Retard chronique,Mineure,Traité
19047,2015,2023-12-15,Comportement,Majeure,Traité
19048,1544,2023-03-16,Absence injustifiée,Mineure,Traité
19049,1308,2022-04-19,Absence injustifiée,Majeure,Traité
19050,1990,2021-12-14,Retard chronique,Mineure,Traité
